Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
100perc_10repeat	0.05	0.4513	0.4854	0.02	0.0014	0.4694	0.7967	0.5908	0.4771	0.4759	0.0712	0.005	0.5377	0.019	0.0	0.6069	0.0196	0.0
15perc_10repeat	0.05	0.4142	0.4964	0.0254	0.0018	0.4372	0.5794	0.4983	0.4908	0.5226	0.069	0.0049	0.5519	0.0157	0.0	0.4607	0.0156	0.0
40perc_5repeat	0.05	0.3688	0.4971	0.0262	0.0019	0.4854	0.6114	0.5412	0.4914	0.5128	0.0476	0.0034	0.5267	0.01	0.0	0.4814	0.0092	0.0
50perc_10repeat	0.2	0.284	0.4876	0.0267	0.0019	0.4792	0.8615	0.6158	0.4798	0.5023	0.0142	0.001	0.512	0.0017	0.0	0.5047	0.0017	0.0
70perc_10repeat	0.05	0.3692	0.4883	0.0208	0.0015	0.4767	0.7768	0.5908	0.4788	0.494	0.0314	0.0022	0.4952	0.0076	0.0	0.5223	0.0079	0.0
60perc_10repeat	0.05	0.3448	0.4879	0.0207	0.0015	0.4772	0.7778	0.5915	0.4788	0.4959	0.0255	0.0018	0.4972	0.0062	0.0	0.5078	0.0065	0.0
05_perc_10repeat	0.05	0.4339	0.4951	0.0252	0.0018	0.4144	0.592	0.4875	0.4832	0.5283	0.0822	0.0058	0.5824	0.0202	0.0	0.4656	0.0208	0.0
40perc_10repeat	0.1	0.32	0.4947	0.0266	0.0019	0.4815	0.6978	0.5698	0.4841	0.5081	0.0266	0.0019	0.5221	0.0043	0.0	0.5015	0.004	0.0
80perc_5repeat	0.1	0.3639	0.4847	0.0211	0.0015	0.4774	0.8779	0.6185	0.4767	0.4905	0.0276	0.002	0.5389	0.0049	0.0	0.5545	0.0053	0.0
15perc_2repeat	0.2	0.3405	0.5057	0.0383	0.0027	0.4961	0.7677	0.6028	0.5058	0.5192	0.0355	0.0025	0.5956	0.0045	0.0	0.5479	0.0043	0.0
30perc_10repeat	0.2	0.2991	0.4986	0.0342	0.0024	0.4883	0.7649	0.5961	0.4903	0.5102	0.0224	0.0016	0.5388	0.0024	0.0	0.5114	0.0027	0.0
80perc_2repeat	0.1	0.3732	0.4823	0.0182	0.0013	0.4753	0.9018	0.6225	0.4767	0.4978	0.0246	0.0017	0.5641	0.0058	0.0	0.5678	0.0059	0.0
30perc_2repeat	0.1	0.3669	0.4958	0.0281	0.002	0.4851	0.6733	0.5639	0.4863	0.5164	0.0436	0.0031	0.556	0.0072	0.0	0.5139	0.0076	0.0
70perc_5repeat	0.1	0.3322	0.4867	0.0223	0.0016	0.4782	0.8653	0.616	0.4774	0.4983	0.0239	0.0017	0.5299	0.0044	0.0	0.5326	0.0038	0.0
05_perc_2repeat	0.1	0.3991	0.4943	0.0283	0.002	0.4754	0.7022	0.567	0.4809	0.5228	0.0583	0.0041	0.6018	0.0096	0.0	0.5537	0.0104	0.0
30perc_5repeat	0.1	0.3465	0.495	0.0279	0.002	0.4847	0.6755	0.5644	0.4833	0.5144	0.0378	0.0027	0.5421	0.0058	0.0	0.5098	0.006	0.0
05_perc_10repeat	0.1	0.3987	0.4944	0.0289	0.002	0.4793	0.7038	0.5703	0.4801	0.5227	0.0538	0.0038	0.6047	0.0091	0.0	0.5566	0.0101	0.0
90perc_10repeat	0.1	0.3906	0.4871	0.0232	0.0016	0.4796	0.8694	0.6182	0.4781	0.4847	0.0369	0.0026	0.5481	0.0073	0.0	0.58	0.0067	0.0
90perc_5repeat	0.05	0.4118	0.4861	0.0201	0.0014	0.4765	0.8035	0.5982	0.4771	0.4868	0.047	0.0033	0.5289	0.0115	0.0	0.5693	0.0129	0.0
15perc_2repeat	0.05	0.4104	0.4966	0.0258	0.0018	0.4545	0.5793	0.5094	0.4872	0.5209	0.0768	0.0054	0.5557	0.0154	0.0	0.4828	0.0146	0.0
60perc_2repeat	0.05	0.3783	0.4923	0.0233	0.0016	0.4817	0.7072	0.5731	0.4807	0.5082	0.0435	0.0031	0.5255	0.0105	0.0	0.5124	0.01	0.0
90perc_2repeat	0.05	0.4019	0.4853	0.0181	0.0013	0.475	0.8126	0.5996	0.4783	0.5012	0.0306	0.0022	0.5605	0.0115	0.0	0.5642	0.0124	0.0
50perc_5repeat	0.05	0.3476	0.4939	0.0238	0.0017	0.4778	0.6603	0.5544	0.4856	0.5068	0.0362	0.0026	0.5187	0.0081	0.0	0.4891	0.0074	0.0
90perc_10repeat	0.05	0.4232	0.4867	0.0212	0.0015	0.4763	0.7963	0.596	0.4771	0.4811	0.0517	0.0037	0.5044	0.0123	0.0	0.5702	0.0126	0.0
40perc_10repeat	0.05	0.3548	0.496	0.0241	0.0017	0.4848	0.6077	0.5393	0.4919	0.5101	0.0368	0.0026	0.5098	0.0076	0.0	0.4716	0.0082	0.0
60perc_5repeat	0.2	0.3027	0.4898	0.0289	0.002	0.4807	0.8893	0.6241	0.4799	0.5003	0.0165	0.0012	0.5215	0.0024	0.0	0.5209	0.0022	0.0
70perc_2repeat	0.2	0.3325	0.4895	0.0286	0.002	0.4809	0.9222	0.6321	0.4796	0.4997	0.0198	0.0014	0.5518	0.0028	0.0	0.5505	0.003	0.0
70perc_5repeat	0.2	0.3253	0.4845	0.0241	0.0017	0.4775	0.9414	0.6336	0.4765	0.495	0.0172	0.0012	0.5277	0.0023	0.0	0.5386	0.0024	0.0
05_perc_2repeat	0.25	0.3389	0.517	0.0452	0.0032	0.5031	0.785	0.6132	0.5117	0.5243	0.0329	0.0023	0.6277	0.0041	0.0	0.5721	0.0043	0.0
90perc_2repeat	0.2	0.3818	0.4808	0.017	0.0012	0.4756	0.9762	0.6396	0.4776	0.4935	0.0155	0.0011	0.5809	0.0031	0.0	0.5941	0.0035	0.0
15perc_2repeat	0.25	0.3237	0.5155	0.0447	0.0032	0.5047	0.7593	0.6064	0.5154	0.5203	0.0304	0.0022	0.5992	0.0037	0.0	0.5486	0.0039	0.0
05_perc_5repeat	0.25	0.3369	0.5161	0.0449	0.0032	0.5036	0.7891	0.6148	0.5141	0.5228	0.0315	0.0022	0.6229	0.0039	0.0	0.5692	0.0042	0.0
60perc_10repeat	0.2	0.2988	0.4817	0.0214	0.0015	0.4763	0.9402	0.6323	0.4758	0.4976	0.0137	0.001	0.5099	0.0017	0.0	0.5175	0.0016	0.0
90perc_5repeat	0.2	0.3823	0.4834	0.0214	0.0015	0.4771	0.9634	0.6382	0.4776	0.49	0.0235	0.0017	0.5659	0.003	0.0	0.5909	0.0035	0.0
15perc_5repeat	0.25	0.3226	0.5101	0.0416	0.0029	0.5005	0.7633	0.6046	0.5146	0.5172	0.0271	0.0019	0.5862	0.0032	0.0	0.5432	0.0037	0.0
100perc_5repeat	0.2	0.4161	0.4824	0.0202	0.0014	0.4767	0.9647	0.6381	0.4783	0.4846	0.0273	0.0019	0.598	0.0038	0.0	0.6305	0.0044	0.0
80perc_2repeat	0.2	0.3516	0.4844	0.0218	0.0015	0.4773	0.9537	0.6362	0.4801	0.4982	0.0159	0.0011	0.5617	0.0029	0.0	0.5654	0.003	0.0
80perc_10repeat	0.2	0.3562	0.4831	0.0218	0.0015	0.4771	0.9444	0.6339	0.4764	0.4893	0.0208	0.0015	0.5305	0.0025	0.0	0.5583	0.0029	0.0
