Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
15perc_2repeat	0.45	0.562	0.0534	0.0038	0.6265	0.2268	0.333	0.5479	0.5214	0.0189	0.0013	0.6006	0.0022	0.0	0.4499	0.0021	0.0
15perc_5repeat	0.45	0.5532	0.0545	0.0039	0.6046	0.208	0.3095	0.5407	0.5213	0.0179	0.0013	0.5916	0.0018	0.0	0.4598	0.0023	0.0
15perc_10repeat	0.45	0.5581	0.0574	0.0041	0.5917	0.2398	0.3412	0.5466	0.5188	0.0181	0.0013	0.5842	0.002	0.0	0.4607	0.002	0.0
15perc_2repeat	0.05	0.5009	0.0274	0.0019	0.3025	0.4249	0.3534	0.5178	0.524	0.0793	0.0056	0.5596	0.0155	0.0	0.4821	0.0145	0.0
15perc_5repeat	0.05	0.5003	0.0271	0.0019	0.3283	0.4369	0.3749	0.5182	0.5265	0.0685	0.0048	0.5298	0.015	0.0	0.5105	0.0148	0.0
15perc_10repeat	0.05	0.5021	0.0266	0.0019	0.305	0.3971	0.345	0.52	0.5238	0.0691	0.0049	0.5362	0.0146	0.0	0.5398	0.0156	0.0
15perc_2repeat	0.4	0.5439	0.0518	0.0037	0.5836	0.2215	0.3212	0.5303	0.524	0.0241	0.0017	0.603	0.0024	0.0	0.4522	0.0027	0.0
15perc_5repeat	0.4	0.5451	0.0505	0.0036	0.5763	0.2173	0.3156	0.5342	0.5212	0.0217	0.0015	0.5919	0.0022	0.0	0.4588	0.0024	0.0
15perc_10repeat	0.4	0.5446	0.0478	0.0034	0.5631	0.1931	0.2876	0.533	0.5206	0.0182	0.0013	0.5873	0.002	0.0	0.4654	0.0022	0.0
5perc_2repeat	0.4	0.5434	0.0457	0.0032	0.6289	0.1967	0.2997	0.5352	0.5288	0.0231	0.0016	0.6335	0.0026	0.0	0.4297	0.0028	0.0
5perc_5repeat	0.4	0.5528	0.0501	0.0035	0.6165	0.1987	0.3005	0.5392	0.5264	0.0213	0.0015	0.6287	0.0026	0.0	0.4335	0.0029	0.0
5perc_10repeat	0.4	0.5546	0.0553	0.0039	0.5927	0.2359	0.3374	0.5377	0.5269	0.0229	0.0016	0.6191	0.0025	0.0	0.436	0.0029	0.0
5perc_2repeat	0.35	0.541	0.0461	0.0033	0.5709	0.2593	0.3566	0.5304	0.5266	0.0278	0.002	0.6304	0.003	0.0	0.4254	0.0034	0.0
5perc_5repeat	0.35	0.5406	0.0454	0.0032	0.5934	0.2449	0.3467	0.5293	0.5263	0.0263	0.0019	0.6281	0.0028	0.0	0.4292	0.0031	0.0
5perc_10repeat	0.35	0.5458	0.0506	0.0036	0.593	0.1956	0.2942	0.534	0.5266	0.0247	0.0017	0.6286	0.0028	0.0	0.4326	0.0032	0.0
15perc_2repeat	0.35	0.5392	0.0479	0.0034	0.5588	0.2608	0.3557	0.5307	0.5207	0.0236	0.0017	0.6005	0.0027	0.0	0.4489	0.0028	0.0
15perc_5repeat	0.35	0.5429	0.0492	0.0035	0.5214	0.2599	0.3469	0.5302	0.5197	0.0217	0.0015	0.589	0.0024	0.0	0.4566	0.0027	0.0
15perc_10repeat	0.35	0.5423	0.0482	0.0034	0.5282	0.242	0.3319	0.531	0.519	0.0205	0.0015	0.5863	0.0023	0.0	0.4609	0.0024	0.0
5perc_2repeat	0.3	0.5353	0.045	0.0032	0.5424	0.2235	0.3166	0.5282	0.5286	0.0297	0.0021	0.6328	0.0035	0.0	0.4327	0.0038	0.0
5perc_5repeat	0.3	0.5303	0.0426	0.003	0.544	0.2615	0.3532	0.5274	0.5277	0.0298	0.0021	0.6185	0.0034	0.0	0.4334	0.0037	0.0
5perc_10repeat	0.3	0.5303	0.0428	0.003	0.5523	0.2441	0.3385	0.5265	0.5236	0.0289	0.002	0.6216	0.0034	0.0	0.4349	0.0035	0.0
