Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
50perc_5repeat	0.2	0.1764	0.8229	0.008	0.0006	0.0	0.0	0.0	0.8234	0.8184	0.0319	0.0023	0.8573	0.0033	0.0	0.2841	0.0091	0.0
40perc_2repeat	0.2	0.1776	0.8219	0.0081	0.0006	0.0	0.0	0.0	0.8211	0.8226	0.0326	0.0023	0.8631	0.0031	0.0	0.286	0.0089	0.0
50perc_2repeat	0.2	0.1769	0.8225	0.0083	0.0006	0.0	0.0	0.0	0.8234	0.8201	0.0331	0.0023	0.8526	0.0031	0.0	0.2652	0.0087	0.0
40perc_5repeat	0.2	0.1778	0.8216	0.0083	0.0006	0.0	0.0	0.0	0.8211	0.8238	0.0334	0.0024	0.861	0.0031	0.0	0.262	0.0093	0.0
40perc_10repeat	0.2	0.1775	0.8219	0.0081	0.0006	0.0	0.0	0.0	0.8211	0.8226	0.0325	0.0023	0.8613	0.003	0.0	0.2781	0.009	0.0
30perc_5repeat	0.2	0.178	0.8214	0.0084	0.0006	0.0	0.0	0.0	0.8211	0.8243	0.0337	0.0024	0.8577	0.0028	0.0	0.2806	0.009	0.0
50perc_10repeat	0.2	0.1767	0.8227	0.0074	0.0005	0.0	0.0	0.0	0.8211	0.8194	0.0297	0.0021	0.8559	0.0031	0.0	0.2807	0.0087	0.0
80perc_2repeat	0.1	0.1778	0.8213	0.0056	0.0004	0.005	0.0001	0.0001	0.8204	0.8285	0.0492	0.0035	0.8474	0.0059	0.0	0.3191	0.0138	0.0
70perc_5repeat	0.2	0.1779	0.8215	0.0082	0.0006	0.0	0.0	0.0	0.8211	0.8241	0.0327	0.0023	0.8594	0.0032	0.0	0.2701	0.0099	0.0
80perc_2repeat	0.2	0.1777	0.8217	0.0079	0.0006	0.0	0.0	0.0	0.8211	0.8232	0.0318	0.0022	0.8597	0.0032	0.0	0.2789	0.0088	0.0
60perc_10repeat	0.2	0.1769	0.8225	0.0081	0.0006	0.0	0.0	0.0	0.8211	0.8201	0.0324	0.0023	0.8604	0.0031	0.0	0.2819	0.0093	0.0
90perc_2repeat	0.2	0.1781	0.8213	0.008	0.0006	0.0	0.0	0.0	0.8211	0.8248	0.0321	0.0023	0.8609	0.0029	0.0	0.2903	0.009	0.0
90perc_5repeat	0.2	0.1777	0.8216	0.0084	0.0006	0.0	0.0	0.0	0.8211	0.8236	0.0335	0.0024	0.8554	0.0034	0.0	0.2823	0.0092	0.0
5perc_2repeat	0.25	0.1781	0.8213	0.009	0.0006	0.0	0.0	0.0	0.8211	0.824	0.0268	0.0019	0.8642	0.0023	0.0	0.2796	0.0074	0.0
100perc_2repeat	0.2	0.177	0.8224	0.0077	0.0005	0.0	0.0	0.0	0.8211	0.8207	0.0309	0.0022	0.8583	0.003	0.0	0.3006	0.008	0.0
15perc_2repeat	0.25	0.1777	0.8218	0.0094	0.0007	0.0	0.0	0.0	0.8211	0.8227	0.028	0.002	0.8611	0.0023	0.0	0.275	0.0078	0.0
15perc_5repeat	0.25	0.1786	0.8209	0.0096	0.0007	0.0	0.0	0.0	0.8186	0.8254	0.0285	0.002	0.8633	0.0028	0.0	0.2727	0.0075	0.0
90perc_10repeat	0.2	0.1778	0.8216	0.0078	0.0006	0.0	0.0	0.0	0.8211	0.8237	0.0313	0.0022	0.8626	0.0032	0.0	0.2805	0.0093	0.0
30perc_5repeat	0.25	0.1784	0.8211	0.0091	0.0006	0.0	0.0	0.0	0.8211	0.8249	0.0271	0.0019	0.8624	0.0024	0.0	0.2775	0.0077	0.0
50perc_2repeat	0.25	0.1772	0.8222	0.0086	0.0006	0.0	0.0	0.0	0.8235	0.8214	0.0257	0.0018	0.8585	0.0023	0.0	0.2878	0.0077	0.0
100perc_10repeat	0.2	0.1774	0.8219	0.0083	0.0006	0.0	0.0	0.0	0.8211	0.8223	0.033	0.0023	0.8572	0.0033	0.0	0.3045	0.0089	0.0
60perc_2repeat	0.2	0.1777	0.8216	0.0083	0.0006	0.0	0.0	0.0	0.8234	0.8236	0.0331	0.0023	0.8589	0.0031	0.0	0.2798	0.009	0.0
40perc_5repeat	0.25	0.1778	0.8216	0.0096	0.0007	0.0	0.0	0.0	0.8211	0.8232	0.0287	0.002	0.858	0.0025	0.0	0.2783	0.0079	0.0
50perc_5repeat	0.25	0.1762	0.8231	0.0101	0.0007	0.0	0.0	0.0	0.8235	0.8187	0.0301	0.0021	0.8578	0.0027	0.0	0.2939	0.008	0.0
