Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
0perc_0repeat	0.4	0.5548	0.0514	0.0051	0.6337	0.2231	0.3301
Median_0perc_0repeat	0.4	0.5478	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5571	0.051	0.0051	0.6702	0.186	0.2911
Median_0perc_0repeat	0.4	0.5359	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5506	0.0559	0.0056	0.6455	0.2237	0.3323
Median_0perc_0repeat	0.4	0.5342	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5503	0.0596	0.006	0.6071	0.2578	0.3619
Median_0perc_0repeat	0.4	0.5384	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5457	0.0516	0.0052	0.6268	0.2605	0.368
Median_0perc_0repeat	0.4	0.5351	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5538	0.0519	0.0052	0.614	0.2356	0.3405
Median_0perc_0repeat	0.4	0.5381	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5492	0.0488	0.0049	0.6584	0.2198	0.3296
Median_0perc_0repeat	0.4	0.5416	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5532	0.0504	0.005	0.6587	0.2354	0.3469
Median_0perc_0repeat	0.4	0.5367	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5539	0.0546	0.0055	0.6262	0.2314	0.3379
Median_0perc_0repeat	0.4	0.542	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5579	0.0603	0.006	0.632	0.2797	0.3878
Median_0perc_0repeat	0.4	0.5441	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5492	0.0529	0.0053	0.6108	0.2688	0.3734
Median_0perc_0repeat	0.4	0.5407	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5461	0.042	0.0042	0.6363	0.1684	0.2663
Median_0perc_0repeat	0.4	0.5435	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5515	0.0477	0.0048	0.6478	0.2094	0.3165
Median_0perc_0repeat	0.4	0.5369	0.0	0.0	0.0	0.0	0.0
