Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
5perc_2repeat	0.05	0.4309	0.0708	0.005	0.0	0.0	0.0	0.4502	0.53	0.0871	0.0062	0.575	0.018	0.0	0.5438	0.0188	0.0
100perc_5repeat	0.05	0.4074	0.0818	0.0058	0.0	0.0	0.0	0.4367	0.5177	0.0894	0.0063	0.5287	0.0145	0.0	0.5216	0.0134	0.0
60perc_2repeat	0.05	0.4392	0.0634	0.0045	0.0	0.0	0.0	0.4578	0.5408	0.0847	0.006	0.6216	0.0163	0.0	0.5355	0.0166	0.0
40perc_2repeat	0.05	0.43	0.0732	0.0052	0.0	0.0	0.0	0.4578	0.5398	0.0868	0.0061	0.5896	0.0172	0.0	0.5167	0.018	0.0
15perc_5repeat	0.05	0.4345	0.073	0.0052	0.0	0.0	0.0	0.4552	0.5226	0.0844	0.006	0.5715	0.0199	0.0	0.517	0.0199	0.0
60perc_10repeat	0.05	0.4343	0.0699	0.0049	0.0	0.0	0.0	0.4567	0.5244	0.0836	0.0059	0.5623	0.02	0.0	0.5317	0.0205	0.0
40perc_10repeat	0.05	0.4447	0.0659	0.0047	0.0	0.0	0.0	0.4614	0.5261	0.0873	0.0062	0.6025	0.0203	0.0	0.5195	0.0214	0.0
50perc_10repeat	0.05	0.4445	0.0639	0.0045	0.0	0.0	0.0	0.458	0.5297	0.0886	0.0063	0.5648	0.0211	0.0	0.5448	0.0214	0.0
5perc_2repeat	0.2	0.398	0.0598	0.0042	0.0	0.0	0.0	0.4111	0.5302	0.0406	0.0029	0.6393	0.0057	0.0	0.5773	0.0057	0.0
50perc_2repeat	0.1	0.4257	0.0685	0.0048	0.0	0.0	0.0	0.444	0.5309	0.0577	0.0041	0.6307	0.0098	0.0	0.5732	0.0107	0.0
60perc_2repeat	0.1	0.4243	0.0628	0.0044	0.0	0.0	0.0	0.4427	0.5273	0.0594	0.0042	0.6283	0.0104	0.0	0.57	0.0102	0.0
70perc_2repeat	0.1	0.4196	0.0669	0.0047	0.0	0.0	0.0	0.441	0.5305	0.0588	0.0042	0.6273	0.0092	0.0	0.5594	0.0102	0.0
80perc_2repeat	0.1	0.4199	0.0645	0.0046	0.0	0.0	0.0	0.4382	0.5372	0.056	0.004	0.613	0.0103	0.0	0.5378	0.011	0.0
