Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
5perc_2repeat	0.2	0.3995	0.0634	0.0045	0.4692	0.3425	0.3959	0.409	0.5205	0.0407	0.0029	0.6161	0.0047	0.0	0.4228	0.0056	0.0
5perc_5repeat	0.2	0.3976	0.0607	0.0043	0.4742	0.3198	0.382	0.4125	0.5207	0.0376	0.0027	0.6208	0.0049	0.0	0.4278	0.0053	0.0
15perc_2repeat	0.2	0.3804	0.0608	0.0043	0.424	0.2848	0.3407	0.3894	0.5237	0.0367	0.0026	0.6005	0.0045	0.0	0.4519	0.0047	0.0
15perc_5repeat	0.2	0.3718	0.061	0.0043	0.4066	0.3351	0.3674	0.3811	0.5198	0.0307	0.0022	0.5837	0.0036	0.0	0.4565	0.0042	0.0
5perc_2repeat	0.1	0.4232	0.061	0.0043	0.3175	0.3206	0.319	0.4366	0.5274	0.0605	0.0043	0.6217	0.0085	0.0	0.4576	0.0097	0.0
5perc_5repeat	0.1	0.4128	0.0678	0.0048	0.3072	0.2832	0.2947	0.4323	0.5303	0.0548	0.0039	0.6132	0.0093	0.0	0.4628	0.0098	0.0
15perc_2repeat	0.1	0.404	0.0712	0.005	0.3456	0.3485	0.347	0.423	0.5232	0.0512	0.0036	0.5901	0.0082	0.0	0.4707	0.0095	0.0
15perc_5repeat	0.1	0.3994	0.0678	0.0048	0.3287	0.3754	0.3505	0.4162	0.5203	0.0487	0.0034	0.58	0.0074	0.0	0.4771	0.0083	0.0
5perc_2repeat	0.05	0.4267	0.0736	0.0052	0.367	0.4262	0.3944	0.4498	0.5199	0.0833	0.0059	0.5804	0.0177	0.0	0.4603	0.0168	0.0
5perc_5repeat	0.05	0.4342	0.0735	0.0052	0.3166	0.4669	0.3773	0.4578	0.5144	0.0935	0.0066	0.531	0.0191	0.0	0.4929	0.02	0.0


30perc_2repeat	0.35	0.3102	0.0569	0.004	0.5282	0.2654	0.3533	0.3087	0.5146	0.0205	0.0014	0.5696	0.0022	0.0	0.4693	0.0025	0.0
30perc_5repeat	0.35	0.2997	0.0515	0.0036	0.4587	0.2814	0.3489	0.2963	0.5133	0.0185	0.0013	0.5512	0.0021	0.0	0.4857	0.0021	0.0
30perc_10repeat	0.35	0.2861	0.0448	0.0032	0.4635	0.2424	0.3184	0.2795	0.5127	0.0156	0.0011	0.5428	0.0017	0.0	0.4916	0.0017	0.0
30perc_2repeat	0.9	0.2385	0.0353	0.0025	0.7555	0.2993	0.4287	0.237	0.5171	0.0093	0.0007	0.5718	0.0009	0.0	0.4701	0.0009	0.0
30perc_5repeat	0.9	0.2367	0.0329	0.0023	0.7095	0.2641	0.3849	0.2296	0.513	0.0087	0.0006	0.5515	0.0008	0.0	0.4816	0.0007	0.0
30perc_10repeat	0.9	0.241	0.0306	0.0022	0.7062	0.2082	0.3216	0.2322	0.5126	0.0061	0.0004	0.5438	0.0006	0.0	0.4888	0.0006	0.0
30perc_2repeat	0.8	0.2497	0.0429	0.003	0.7105	0.2862	0.4081	0.2394	0.5161	0.0121	0.0009	0.5715	0.0011	0.0	0.4687	0.0012	0.0
30perc_5repeat	0.8	0.2468	0.0334	0.0024	0.6767	0.2367	0.3507	0.2366	0.5134	0.0096	0.0007	0.5526	0.0009	0.0	0.483	0.0009	0.0
30perc_10repeat	0.8	0.244	0.0256	0.0018	0.6874	0.2086	0.3201	0.2379	0.5119	0.0077	0.0005	0.543	0.0007	0.0	0.4878	0.0007	0.0
30perc_2repeat	0.7	0.256	0.0431	0.003	0.7047	0.2402	0.3583	0.2468	0.5166	0.0119	0.0008	0.5722	0.0011	0.0	0.4698	0.0012	0.0
30perc_5repeat	0.7	0.2575	0.038	0.0027	0.6595	0.1998	0.3066	0.2464	0.5147	0.0099	0.0007	0.5535	0.001	0.0	0.4843	0.001	0.0
30perc_10repeat	0.7	0.2501	0.0312	0.0022	0.6449	0.2258	0.3345	0.2398	0.5114	0.0092	0.0006	0.5419	0.0009	0.0	0.4878	0.0009	0.0
30perc_2repeat	0.6	0.2708	0.0497	0.0035	0.6624	0.2413	0.3537	0.2576	0.5168	0.015	0.0011	0.5704	0.0016	0.0	0.4696	0.0014	0.0
30perc_5repeat	0.6	0.2657	0.0433	0.0031	0.6071	0.2327	0.3365	0.2531	0.5136	0.0137	0.001	0.5528	0.0014	0.0	0.4829	0.0013	0.0
30perc_10repeat	0.6	0.2603	0.0323	0.0023	0.5925	0.2152	0.3157	0.2531	0.5121	0.0105	0.0007	0.5421	0.0011	0.0	0.4885	0.0011	0.0
30perc_2repeat	0.5	0.282	0.0536	0.0038	0.5897	0.2888	0.3877	0.2703	0.5152	0.0186	0.0013	0.5673	0.0018	0.0	0.4686	0.0018	0.0
30perc_5repeat	0.5	0.2701	0.0435	0.0031	0.5726	0.238	0.3363	0.2594	0.5125	0.0138	0.001	0.5513	0.0014	0.0	0.4834	0.0014	0.0
30perc_10repeat	0.5	0.2672	0.0372	0.0026	0.5595	0.211	0.3064	0.2576	0.5119	0.0122	0.0009	0.5426	0.0012	0.0	0.4897	0.0013	0.0
