Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
60perc_2repeat	0.05	0.4274	0.0737	0.0052	0.0	0.0	0.0	0.4504	0.5252	0.0862	0.0061	0.5548	0.0158	0.0	0.5249	0.0156	0.0
40perc_2repeat	0.1	0.4309	0.0602	0.0043	0.0	0.0	0.0	0.4383	0.5295	0.0676	0.0048	0.6217	0.0099	0.0	0.5751	0.0102	0.0
05perc_10repeat	0.1	0.4212	0.064	0.0045	0.0	0.0	0.0	0.4349	0.5284	0.0555	0.0039	0.6441	0.01	0.0	0.5642	0.0112	0.0
100perc_10repeat	0.05	0.4224	0.0802	0.0057	0.0	0.0	0.0	0.454	0.5315	0.0915	0.0065	0.5828	0.0135	0.0	0.5279	0.0144	0.0
40perc_2repeat	0.05	0.432	0.0732	0.0052	0.0	0.0	0.0	0.4558	0.5321	0.0884	0.0063	0.5735	0.0163	0.0	0.5477	0.0165	0.0
05perc_2repeat	0.05	0.43	0.0769	0.0054	0.0	0.0	0.0	0.4528	0.5245	0.0975	0.0069	0.5639	0.0175	0.0	0.5323	0.0188	0.0
60perc_5repeat	0.05	0.4164	0.0767	0.0054	0.0	0.0	0.0	0.4455	0.5223	0.0937	0.0066	0.5431	0.0167	0.0	0.5066	0.017	0.0
90perc_10repeat	0.05	0.4264	0.0727	0.0051	0.0	0.0	0.0	0.4494	0.5298	0.088	0.0062	0.5735	0.0152	0.0	0.541	0.0147	0.0
05perc_5repeat	0.05	0.4381	0.073	0.0052	0.0	0.0	0.0	0.4553	0.5229	0.0894	0.0063	0.5655	0.0191	0.0	0.5477	0.021	0.0
50perc_10repeat	0.05	0.4335	0.0654	0.0046	0.0	0.0	0.0	0.4548	0.5257	0.0862	0.0061	0.5376	0.0192	0.0	0.4905	0.0189	0.0
50perc_5repeat	0.05	0.4328	0.0705	0.005	0.0	0.0	0.0	0.4531	0.5208	0.0951	0.0067	0.5535	0.0171	0.0	0.5123	0.0179	0.0
40perc_10repeat	0.05	0.436	0.0735	0.0052	0.0	0.0	0.0	0.4567	0.5217	0.0942	0.0067	0.5928	0.0182	0.0	0.5235	0.0208	0.0
15perc_5repeat	0.05	0.4345	0.0668	0.0047	0.0	0.0	0.0	0.4534	0.5328	0.0876	0.0062	0.5691	0.0204	0.0	0.5049	0.0192	0.0
05perc_2repeat	0.2	0.4111	0.0578	0.0041	0.0	0.0	0.0	0.4219	0.5301	0.0416	0.0029	0.6411	0.0056	0.0	0.5791	0.0057	0.0
30perc_2repeat	0.2	0.4143	0.0574	0.0041	0.0	0.0	0.0	0.4275	0.5254	0.0431	0.003	0.6363	0.0055	0.0	0.5786	0.0062	0.0
