Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
15perc_10repeat	0.7	0.1762	0.7409	0.0083	0.0006	0.6535	0.4647	0.5432
100perc_5repeat	0.7	0.3778	0.285	0.009	0.0006	0.2561	0.5619	0.3519
30perc_10repeat	0.7	0.1854	0.739	0.0079	0.0006	0.6589	0.4522	0.5363
100perc_2repeat	0.5	0.3049	0.2883	0.0057	0.0004	0.2414	0.4915	0.3237
40perc_10repeat	0.5	0.1984	0.7344	0.0052	0.0004	0.6393	0.4798	0.5482
5perc_2repeat	0.8	0.1727	0.7419	0.0104	0.0007	0.6595	0.4607	0.5425
30perc_10repeat	0.5	0.1853	0.7396	0.0055	0.0004	0.6449	0.4893	0.5564
50perc_10repeat	0.5	0.2264	0.7018	0.0155	0.0011	0.5691	0.4899	0.5266
15perc_5repeat	0.1	0.2187	0.6936	0.0648	0.0046	0.5483	0.7079	0.6179
90perc_5repeat	0.5	0.3628	0.2792	0.0056	0.0004	0.2416	0.5098	0.3278
15perc_2repeat	0.9	0.176	0.7375	0.016	0.0011	0.664	0.4332	0.5243
70perc_5repeat	0.5	0.2956	0.2864	0.0091	0.0006	0.2425	0.5146	0.3297
90perc_10repeat	0.1	0.4044	0.3323	0.0684	0.0048	0.199	0.3148	0.2439
5perc_2repeat	0.9	0.1736	0.7382	0.0155	0.0011	0.6619	0.4351	0.5251
100perc_5repeat	0.1	0.3836	0.3469	0.0694	0.0049	0.1987	0.2926	0.2367
40perc_10repeat	0.1	0.219	0.6846	0.0749	0.0053	0.5505	0.6618	0.601
100perc_5repeat	0.5	0.383	0.2813	0.0058	0.0004	0.2399	0.495	0.3232
60perc_10repeat	0.5	0.278	0.3089	0.0254	0.0018	0.2479	0.5085	0.3333
40perc_5repeat	0.1	0.221	0.6779	0.0841	0.0059	0.5463	0.6656	0.6001
40perc_10repeat	0.7	0.1986	0.7335	0.0079	0.0006	0.6504	0.4468	0.5297
50perc_10repeat	0.7	0.2265	0.7007	0.0194	0.0014	0.5718	0.4624	0.5113
30perc_2repeat	0.9	0.182	0.7347	0.0163	0.0012	0.6661	0.425	0.5189
40perc_2repeat	0.8	0.1878	0.7338	0.0113	0.0008	0.6594	0.4401	0.5279
60perc_10repeat	0.7	0.2792	0.3037	0.0157	0.0011	0.2537	0.543	0.3458
15perc_2repeat	0.8	0.1752	0.7406	0.0106	0.0007	0.6623	0.4549	0.5393
50perc_2repeat	0.8	0.1983	0.7288	0.0114	0.0008	0.6515	0.4343	0.5212
70perc_10repeat	0.7	0.3327	0.2779	0.0079	0.0006	0.2517	0.5675	0.3487
60perc_2repeat	0.8	0.2146	0.7177	0.0112	0.0008	0.6261	0.4343	0.5129
40perc_2repeat	0.9	0.1882	0.733	0.0166	0.0012	0.6629	0.4254	0.5182
70perc_2repeat	0.8	0.2378	0.6463	0.0364	0.0026	0.4904	0.4652	0.4775
30perc_5repeat	0.8	0.1843	0.7374	0.0104	0.0007	0.6663	0.4425	0.5318
50perc_2repeat	0.9	0.1993	0.7264	0.0157	0.0011	0.6512	0.4181	0.5092
15perc_5repeat	0.9	0.1768	0.7376	0.016	0.0011	0.6656	0.4314	0.5235
60perc_2repeat	0.9	0.2163	0.7149	0.0161	0.0011	0.6197	0.4242	0.5037
70perc_2repeat	0.9	0.2375	0.6497	0.0312	0.0022	0.4926	0.4564	0.4738
5perc_5repeat	0.9	0.1738	0.7383	0.0159	0.0011	0.6625	0.4354	0.5255
70perc_10repeat	0.5	0.3357	0.2757	0.0054	0.0004	0.2421	0.5278	0.3319
40perc_5repeat	0.8	0.1944	0.7341	0.0106	0.0008	0.661	0.4397	0.5281
90perc_10repeat	0.7	0.397	0.2821	0.009	0.0006	0.255	0.5665	0.3517
100perc_10repeat	0.5	0.4226	0.2805	0.0059	0.0004	0.2392	0.4933	0.3222
90perc_10repeat	0.5	0.4039	0.2779	0.006	0.0004	0.2411	0.5099	0.3274
5perc_10repeat	0.8	0.1728	0.7417	0.0104	0.0007	0.6603	0.4576	0.5405
40perc_5repeat	0.9	0.1949	0.7333	0.0162	0.0011	0.6642	0.4282	0.5207
30perc_5repeat	0.9	0.1844	0.7373	0.0163	0.0012	0.6715	0.4301	0.5243
90perc_2repeat	0.9	0.2838	0.3011	0.0143	0.001	0.269	0.5954	0.3706
100perc_2repeat	0.8	0.3035	0.294	0.0104	0.0007	0.2663	0.5856	0.3661
100perc_2repeat	0.9	0.3029	0.2964	0.0154	0.0011	0.2716	0.6093	0.3757
50perc_5repeat	0.8	0.2151	0.7211	0.0102	0.0007	0.6273	0.4425	0.5189
100perc_2repeat	0.7	0.3042	0.2917	0.0083	0.0006	0.2579	0.5597	0.3531
50perc_5repeat	0.9	0.2146	0.7213	0.0159	0.0011	0.6316	0.4315	0.5127
90perc_5repeat	0.8	0.3548	0.2847	0.0114	0.0008	0.2623	0.5868	0.3625
60perc_5repeat	0.9	0.2507	0.4962	0.0623	0.0044	0.344	0.4981	0.407
60perc_5repeat	0.8	0.2509	0.4972	0.0705	0.005	0.3471	0.5026	0.4107
70perc_5repeat	0.9	0.2922	0.2904	0.0143	0.001	0.2602	0.5815	0.3596
100perc_5repeat	0.9	0.3736	0.2902	0.0165	0.0012	0.2701	0.6126	0.3749
30perc_2repeat	0.8	0.1812	0.7368	0.0106	0.0007	0.6633	0.4439	0.5319
15perc_5repeat	0.8	0.1758	0.7408	0.0105	0.0007	0.6645	0.4513	0.5376
100perc_5repeat	0.8	0.3753	0.2874	0.0115	0.0008	0.2645	0.5879	0.3649
30perc_10repeat	0.8	0.1856	0.7388	0.0103	0.0007	0.668	0.4439	0.5333
40perc_10repeat	0.8	0.1983	0.7343	0.0107	0.0008	0.659	0.4411	0.5285
15perc_10repeat	0.9	0.1771	0.738	0.016	0.0011	0.668	0.431	0.5239
5perc_10repeat	0.9	0.1738	0.7382	0.0155	0.0011	0.662	0.4343	0.5245
50perc_10repeat	0.8	0.2267	0.7018	0.0149	0.0011	0.5788	0.4529	0.5082
90perc_2repeat	0.8	0.2844	0.2992	0.0105	0.0007	0.2645	0.5746	0.3623
30perc_10repeat	0.9	0.1861	0.7373	0.016	0.0011	0.6708	0.4311	0.5249
70perc_10repeat	0.8	0.3316	0.278	0.011	0.0008	0.2552	0.5763	0.3538
40perc_10repeat	0.9	0.1987	0.7329	0.0158	0.0011	0.6603	0.4324	0.5226
60perc_10repeat	0.8	0.2787	0.3031	0.0128	0.0009	0.2568	0.5498	0.3501
90perc_10repeat	0.8	0.3947	0.2831	0.0114	0.0008	0.2613	0.5849	0.3612
50perc_10repeat	0.9	0.2267	0.7017	0.0173	0.0012	0.5773	0.4477	0.5043
100perc_10repeat	0.8	0.4139	0.2861	0.0117	0.0008	0.2631	0.5831	0.3626
90perc_10repeat	0.9	0.3922	0.2853	0.0164	0.0012	0.2657	0.6039	0.369
100perc_10repeat	0.9	0.4119	0.289	0.0169	0.0012	0.2687	0.6076	0.3726
90perc_5repeat	0.9	0.353	0.287	0.0164	0.0012	0.2669	0.6077	0.3709
15perc_10repeat	0.8	0.1761	0.741	0.0105	0.0007	0.6662	0.45	0.5372
70perc_5repeat	0.8	0.2931	0.2886	0.0105	0.0007	0.2571	0.568	0.354
100perc_10repeat	0.7	0.4166	0.2841	0.0092	0.0007	0.2551	0.5586	0.3502
60perc_10repeat	0.9	0.2786	0.3038	0.0161	0.0011	0.2581	0.5553	0.3524
70perc_10repeat	0.9	0.3309	0.279	0.0165	0.0012	0.2576	0.5875	0.3581
