Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
60perc_2repeat	0.2	0.212	0.7215	0.0114	0.0051	0.5808	0.565	0.5728	0.6604	0.0076	0.0034	0.7214	0.0108	0.0048	0.6926	0.0197	0.0088	0.0	0.0	0.0	0.2143	0.2115
5perc_2repeat	0.2	0.1726	0.7384	0.0021	0.0009	0.6249	0.4919	0.5505	0.6734	0.0028	0.0013	0.7459	0.0035	0.0016	0.701	0.0067	0.003	0.0	0.0	0.0	0.147	0.1823
40perc_5repeat	0.1	0.2045	0.7219	0.0246	0.011	0.5749	0.6568	0.6132	0.6667	0.0068	0.003	0.7081	0.0392	0.0175	0.6921	0.0144	0.0064	0.0	0.0	0.0	0.2097	0.211
50perc_2repeat	0.2	0.2082	0.6987	0.0853	0.0381	0.5758	0.5956	0.5855	0.6657	0.0101	0.0045	0.6994	0.0862	0.0386	0.6912	0.0211	0.0094	0.0	0.0	0.0	0.2376	0.2093
100perc_5repeat	0.1	0.3533	0.2991	0.0381	0.0171	0.1878	0.3618	0.2473	0.3287	0.0036	0.0016	0.3286	0.0725	0.0324	0.3121	0.0113	0.005	0.0	0.0	0.0	0.4103	0.4172
15perc_5repeat	0.1	0.1938	0.7028	0.035	0.0156	0.5678	0.5631	0.5655	0.668	0.0089	0.004	0.679	0.0714	0.0319	0.6821	0.0041	0.0018	0.0	0.0	0.0	0.2072	0.2348
90perc_2repeat	0.2	0.2917	0.2935	0.0342	0.0153	0.1909	0.3693	0.2517	0.3345	0.0054	0.0024	0.2952	0.0365	0.0163	0.3057	0.0111	0.005	0.0	0.0	0.0	0.2876	0.2991
100perc_2repeat	0.2	0.3126	0.2783	0.0381	0.017	0.1784	0.3416	0.2344	0.3294	0.0026	0.0012	0.2816	0.0415	0.0186	0.2903	0.0142	0.0063	0.0	0.0	0.0	0.2988	0.329
30perc_10repeat	0.1	0.199	0.7226	0.0153	0.0068	0.5829	0.6174	0.5997	0.6666	0.0088	0.004	0.7076	0.0384	0.0172	0.6805	0.0114	0.0051	0.0	0.0	0.0	0.1738	0.2099
70perc_10repeat	0.1	0.3078	0.3183	0.101	0.0452	0.1945	0.3685	0.2546	0.3396	0.0088	0.004	0.3195	0.1009	0.0451	0.3108	0.0266	0.0119	0.0	0.0	0.0	0.3046	0.3363
