Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
5perc_10repeat	0.4	0.5605	0.0471	0.0094	0.6619	0.2227	0.3333
10perc_2repeat	0.4	0.5485	0.0425	0.0085	0.6362	0.1697	0.2679
10perc_5repeat	0.4	0.5663	0.0569	0.0114	0.65	0.2391	0.3496
10perc_10repeat	0.4	0.5505	0.0478	0.0096	0.6317	0.1489	0.241
15perc_2repeat	0.4	0.5532	0.0424	0.0085	0.6539	0.2295	0.3397
15perc_5repeat	0.4	0.5702	0.0589	0.0118	0.6745	0.3002	0.4155
15perc_10repeat	0.4	0.5567	0.0543	0.0109	0.6293	0.2277	0.3345
20perc_2repeat	0.4	0.5644	0.059	0.0118	0.6416	0.3084	0.4166
20perc_5repeat	0.4	0.5618	0.0521	0.0104	0.6442	0.3037	0.4128
20perc_10repeat	0.4	0.5678	0.0588	0.0118	0.6824	0.2074	0.3181
25perc_2repeat	0.4	0.5474	0.057	0.0114	0.6481	0.2668	0.378
25perc_5repeat	0.4	0.5582	0.0543	0.0109	0.6338	0.2251	0.3322
25perc_10repeat	0.4	0.5719	0.0575	0.0115	0.6358	0.2672	0.3763
30perc_2repeat	0.4	0.5408	0.0481	0.0096	0.6143	0.2184	0.3223
30perc_5repeat	0.4	0.5651	0.0553	0.0111	0.5786	0.1811	0.2759
30perc_10repeat	0.4	0.5682	0.0642	0.0128	0.6516	0.2698	0.3816
5perc_2repeat	0.45	0.5538	0.0442	0.0088	0.7319	0.2002	0.3145
5perc_5repeat	0.45	0.5745	0.0541	0.0108	0.718	0.1988	0.3114
5perc_10repeat	0.45	0.5743	0.0574	0.0115	0.6414	0.2949	0.404
10perc_2repeat	0.45	0.5557	0.0468	0.0094	0.6659	0.2449	0.3581
10perc_5repeat	0.45	0.5499	0.0554	0.0111	0.6302	0.327	0.4306
10perc_10repeat	0.45	0.5398	0.0505	0.0101	0.7054	0.2495	0.3687
15perc_2repeat	0.45	0.5778	0.0519	0.0104	0.6836	0.2467	0.3625
15perc_5repeat	0.45	0.5712	0.0525	0.0105	0.6737	0.2874	0.403
