Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
90perc_10repeat	0.1	0.3723	0.3534	0.0414	0.0185	0.3093	0.3485	0.3277	0.2602	0.0062	0.0028	0.4085	0.0349	0.0156	0.2865	0.0447	0.02	0.0	0.0	0.0	0.2828	0.419
50perc_2repeat	0.2	0.2268	0.6537	0.0715	0.032	0.6457	0.6248	0.6351	0.7379	0.0071	0.0032	0.6481	0.0751	0.0336	0.6924	0.0463	0.0207	0.0	0.0	0.0	0.2621	0.238
70perc_2repeat	0.25	0.2602	0.5293	0.0493	0.0221	0.5079	0.6288	0.5619	0.6189	0.1352	0.0605	0.5269	0.0479	0.0214	0.545	0.1088	0.0486	0.0	0.0	0.0	0.2629	0.2646
50perc_2repeat	0.25	0.2376	0.6212	0.0773	0.0346	0.6414	0.5369	0.5845	0.7333	0.0059	0.0027	0.6159	0.0731	0.0327	0.6974	0.0335	0.015	0.0	0.0	0.0	0.3231	0.2515
90perc_5repeat	0.2	0.342	0.3307	0.0288	0.0129	0.3292	0.4485	0.3797	0.2641	0.0065	0.0029	0.3432	0.0356	0.0159	0.2756	0.0148	0.0066	0.0	0.0	0.0	0.2603	0.3488
15perc_5repeat	0.2	0.2163	0.6819	0.0347	0.0155	0.7048	0.5615	0.625	0.7359	0.0065	0.0029	0.6465	0.0395	0.0176	0.7194	0.0198	0.0089	0.0	0.0	0.0	0.3049	0.2489
5perc_5repeat	0.2	0.2124	0.6974	0.0408	0.0182	0.7162	0.5912	0.6477	0.7359	0.0065	0.0029	0.6654	0.0409	0.0183	0.7245	0.0129	0.0058	0.0	0.0	0.0	0.3285	0.2361
80perc_2repeat	0.25	0.2869	0.4721	0.0229	0.0103	0.4496	0.7087	0.5502	0.3363	0.0648	0.029	0.4721	0.022	0.0098	0.4385	0.0441	0.0197	0.0	0.0	0.0	0.2431	0.2988
70perc_5repeat	0.2	0.2895	0.4105	0.0316	0.0141	0.3864	0.5394	0.4503	0.2661	0.0067	0.003	0.4178	0.0283	0.0127	0.3299	0.0483	0.0216	0.0	0.0	0.0	0.2494	0.2928
60perc_5repeat	0.2	0.2643	0.5261	0.0579	0.0259	0.5101	0.5465	0.5277	0.6573	0.0602	0.0269	0.5258	0.0568	0.0254	0.5621	0.1205	0.0539	0.0	0.0	0.0	0.2508	0.2706
40perc_5repeat	0.2	0.2312	0.625	0.0641	0.0287	0.6204	0.6083	0.6143	0.7359	0.0065	0.0029	0.6108	0.0735	0.0329	0.6605	0.0659	0.0295	0.0	0.0	0.0	0.2619	0.2421
80perc_5repeat	0.2	0.3131	0.3295	0.0411	0.0184	0.335	0.4673	0.3902	0.2641	0.0065	0.0029	0.3432	0.0476	0.0213	0.2953	0.0505	0.0226	0.0	0.0	0.0	0.252	0.3199
100perc_2repeat	0.25	0.3087	0.3514	0.041	0.0184	0.3209	0.4239	0.3653	0.2641	0.0058	0.0026	0.3553	0.043	0.0192	0.2732	0.0098	0.0044	0.0	0.0	0.0	0.1986	0.3112
60perc_2repeat	0.25	0.2488	0.5691	0.0465	0.0208	0.5662	0.5698	0.568	0.7368	0.0071	0.0032	0.5694	0.0483	0.0216	0.6521	0.0749	0.0335	0.0	0.0	0.0	0.2874	0.2533
40perc_10repeat	0.1	0.2497	0.581	0.0266	0.0119	0.6913	0.3223	0.4396	0.7265	0.0281	0.0126	0.5683	0.0279	0.0125	0.7064	0.058	0.0259	0.0	0.0	0.0	0.2651	0.314
90perc_2repeat	0.25	0.2913	0.3693	0.0538	0.0241	0.3621	0.5521	0.4374	0.2757	0.0297	0.0133	0.3727	0.0539	0.0241	0.2793	0.0152	0.0068	0.0	0.0	0.0	0.2178	0.2948
5perc_10repeat	0.1	0.219	0.6995	0.0255	0.0114	0.7214	0.621	0.6674	0.7398	0.0062	0.0028	0.597	0.0649	0.029	0.7224	0.0231	0.0103	0.0	0.0	0.0	0.3494	0.3492
100perc_5repeat	0.2	0.379	0.3059	0.0368	0.0165	0.3073	0.4137	0.3527	0.2641	0.0065	0.0029	0.3259	0.0378	0.0169	0.2738	0.0121	0.0054	0.0	0.0	0.0	0.2715	0.389
30perc_5repeat	0.25	0.2401	0.6088	0.0546	0.0244	0.6316	0.5805	0.605	0.7359	0.0058	0.0026	0.5978	0.0532	0.0238	0.7064	0.0321	0.0144	0.0	0.0	0.0	0.372	0.268
5perc_2repeat	0.3	0.2006	0.716	0.0199	0.0089	0.7328	0.6327	0.6791	0.7373	0.0086	0.0039	0.7082	0.027	0.0121	0.7401	0.0109	0.0049	0.0	0.0	0.0	0.3473	0.2062
5perc_5repeat	0.25	0.2239	0.6705	0.0313	0.014	0.6947	0.5889	0.6374	0.7359	0.0058	0.0026	0.6476	0.0426	0.019	0.7269	0.0068	0.0031	0.0	0.0	0.0	0.4925	0.2503
30perc_2repeat	0.3	0.2022	0.7032	0.0221	0.0099	0.7394	0.5779	0.6488	0.7346	0.0064	0.0029	0.7014	0.0275	0.0123	0.7384	0.0111	0.005	0.0	0.0	0.0	0.2929	0.2032
40perc_2repeat	0.3	0.2117	0.7046	0.0475	0.0213	0.6851	0.724	0.704	0.7359	0.0097	0.0044	0.6983	0.0492	0.022	0.7355	0.016	0.0071	0.0	0.0	0.0	0.2762	0.213
40perc_5repeat	0.25	0.224	0.6327	0.0391	0.0175	0.6599	0.5201	0.5817	0.7196	0.0334	0.0149	0.6213	0.0434	0.0194	0.6939	0.0302	0.0135	0.0	0.0	0.0	0.3355	0.2283
