Label	trainingSize	Accuracy_Mean	Accuracy_SD	Precision_Mean	Recall_Mean	F1
15perc_10repeat	0.35	0.5559	0.0446	0.2153	0.4726	0.2958
20perc_2repeat	0.35	0.5514	0.0358	0.1302	0.4689	0.2038
20perc_5repeat	0.35	0.5515	0.0609	0.2672	0.4655	0.3395
20perc_10repeat	0.35	0.5483	0.0578	0.1641	0.4697	0.2432
25perc_2repeat	0.35	0.5385	0.0373	0.1453	0.4768	0.2228
25perc_5repeat	0.35	0.5472	0.0516	0.2022	0.4741	0.2835
25perc_10repeat	0.35	0.551	0.0467	0.1706	0.4721	0.2506
30perc_2repeat	0.35	0.5527	0.0568	0.2473	0.4697	0.324
30perc_5repeat	0.35	0.5378	0.0452	0.126	0.4758	0.1992
30perc_10repeat	0.35	0.5516	0.0478	0.2036	0.473	0.2846
5perc_2repeat	0.4	0.5603	0.046	0.1475	0.4734	0.225
5perc_5repeat	0.4	0.5723	0.0479	0.1683	0.4702	0.2479
5perc_10repeat	0.4	0.5472	0.0414	0.1823	0.4748	0.2634
10perc_2repeat	0.4	0.5332	0.0352	0.2503	0.4731	0.3274
10perc_5repeat	0.4	0.5479	0.04	0.1575	0.4716	0.2361
10perc_10repeat	0.4	0.5468	0.044	0.1587	0.4729	0.2376
15perc_2repeat	0.4	0.5388	0.0376	0.1348	0.4769	0.2101
15perc_5repeat	0.4	0.5611	0.0506	0.1188	0.4706	0.1897
15perc_10repeat	0.4	0.5622	0.0715	0.2027	0.4704	0.2834
20perc_2repeat	0.4	0.5698	0.0615	0.1825	0.4705	0.263
20perc_5repeat	0.4	0.5343	0.0408	0.2718	0.4706	0.3446
20perc_10repeat	0.4	0.5475	0.0437	0.2218	0.4687	0.3011
25perc_2repeat	0.4	0.567	0.0473	0.1645	0.4722	0.244
25perc_5repeat	0.4	0.5447	0.0491	0.2167	0.4738	0.2974
25perc_10repeat	0.4	0.557	0.0652	0.2259	0.4698	0.3051
30perc_2repeat	0.4	0.5642	0.0484	0.1529	0.4728	0.2311
30perc_5repeat	0.4	0.5293	0.0459	0.2997	0.4684	0.3655
30perc_10repeat	0.4	0.5418	0.0449	0.1667	0.476	0.2469
5perc_2repeat	0.45	0.5662	0.061	0.1456	0.4787	0.2233
5perc_5repeat	0.45	0.5736	0.0526	0.1471	0.4726	0.2243
5perc_10repeat	0.45	0.6104	0.0476	0.2053	0.4622	0.2843
10perc_2repeat	0.45	0.5718	0.0458	0.1727	0.4724	0.2529
10perc_5repeat	0.45	0.5643	0.0524	0.1861	0.4697	0.2665
10perc_10repeat	0.45	0.5712	0.0586	0.2223	0.4692	0.3016
15perc_2repeat	0.45	0.5796	0.0559	0.1675	0.4691	0.2468
15perc_5repeat	0.45	0.5556	0.0415	0.0729	0.4757	0.1265
15perc_10repeat	0.45	0.5797	0.0616	0.1941	0.4679	0.2743
20perc_2repeat	0.45	0.5586	0.0506	0.2198	0.4686	0.2992
20perc_5repeat	0.45	0.5918	0.0561	0.188	0.4684	0.2683
20perc_10repeat	0.45	0.5702	0.0508	0.1306	0.4767	0.205
25perc_2repeat	0.45	0.571	0.0517	0.0998	0.4713	0.1648
25perc_5repeat	0.45	0.597	0.0626	0.192	0.47	0.2726
25perc_10repeat	0.45	0.5581	0.0555	0.1444	0.4751	0.2215
30perc_2repeat	0.45	0.5635	0.0555	0.2421	0.4703	0.3196
30perc_5repeat	0.45	0.5817	0.0555	0.1237	0.4738	0.1962
30perc_10repeat	0.45	0.5724	0.0517	0.1376	0.4719	0.2131
5perc_2repeat	0.5	0.5827	0.0601	0.1792	0.4697	0.2594
5perc_5repeat	0.5	0.5779	0.0589	0.1529	0.4711	0.2309
5perc_10repeat	0.5	0.5811	0.0688	0.249	0.4692	0.3254
10perc_2repeat	0.5	0.5914	0.053	0.192	0.4702	0.2727
10perc_5repeat	0.5	0.5658	0.0588	0.1778	0.4752	0.2588
10perc_10repeat	0.5	0.5627	0.0494	0.2116	0.4712	0.2921
15perc_2repeat	0.5	0.5785	0.0443	0.1212	0.4705	0.1928
15perc_5repeat	0.5	0.6032	0.0546	0.2047	0.4679	0.2848
15perc_10repeat	0.5	0.58	0.0509	0.1636	0.4734	0.2431
20perc_2repeat	0.5	0.5596	0.0499	0.1967	0.4711	0.2776
20perc_5repeat	0.5	0.5683	0.0584	0.1638	0.4693	0.2429
20perc_10repeat	0.5	0.5632	0.0509	0.1401	0.4743	0.2163
25perc_2repeat	0.5	0.5795	0.0529	0.1492	0.4714	0.2267
25perc_5repeat	0.5	0.5837	0.0513	0.1531	0.4726	0.2312
25perc_10repeat	0.5	0.5661	0.072	0.2598	0.4667	0.3338
30perc_2repeat	0.5	0.5793	0.0528	0.1741	0.4732	0.2545
30perc_5repeat	0.5	0.5695	0.0543	0.1308	0.4773	0.2053
30perc_10repeat	0.5	0.5881	0.0593	0.169	0.4686	0.2484
5perc_2repeat	0.6	0.5933	0.0597	0.1826	0.47	0.263
5perc_5repeat	0.6	0.5988	0.0646	0.164	0.4721	0.2434
5perc_10repeat	0.6	0.5826	0.0682	0.1846	0.474	0.2657
10perc_2repeat	0.6	0.6039	0.0627	0.2417	0.461	0.3172
10perc_5repeat	0.6	0.6107	0.0689	0.2601	0.4639	0.3333
10perc_10repeat	0.6	0.6006	0.0431	0.1758	0.4692	0.2557
15perc_2repeat	0.6	0.5703	0.0496	0.1235	0.4794	0.1964
15perc_5repeat	0.6	0.5779	0.049	0.1299	0.4805	0.2045
15perc_10repeat	0.6	0.6029	0.0528	0.2166	0.4695	0.2965
20perc_2repeat	0.6	0.598	0.0705	0.2093	0.4677	0.2892
20perc_5repeat	0.6	0.5884	0.059	0.2005	0.4695	0.281
20perc_10repeat	0.6	0.5977	0.0611	0.1563	0.4673	0.2342
25perc_2repeat	0.6	0.5835	0.0711	0.1923	0.4727	0.2734
25perc_5repeat	0.6	0.6009	0.049	0.1598	0.4703	0.2386
25perc_10repeat	0.6	0.6068	0.0666	0.1951	0.474	0.2764
30perc_2repeat	0.6	0.5958	0.0596	0.1698	0.4748	0.2502
30perc_5repeat	0.6	0.6219	0.0508	0.2099	0.4669	0.2896
30perc_10repeat	0.6	0.6023	0.0707	0.227	0.4723	0.3066
5perc_2repeat	0.7	0.5957	0.0463	0.1315	0.4798	0.2064
5perc_5repeat	0.7	0.6153	0.0605	0.1854	0.4772	0.267
5perc_10repeat	0.7	0.6213	0.0448	0.1856	0.4647	0.2653
10perc_2repeat	0.7	0.5994	0.0555	0.1692	0.4757	0.2496
10perc_5repeat	0.7	0.5993	0.0663	0.1709	0.4828	0.2525
10perc_10repeat	0.7	0.6417	0.0565	0.2309	0.4609	0.3077
15perc_2repeat	0.7	0.6094	0.0553	0.1792	0.4772	0.2606
15perc_5repeat	0.7	0.6238	0.0584	0.2231	0.4718	0.3029
15perc_10repeat	0.7	0.6254	0.0572	0.2076	0.4669	0.2874
20perc_2repeat	0.7	0.6231	0.0509	0.1989	0.4675	0.279
20perc_5repeat	0.7	0.6101	0.0495	0.1781	0.4772	0.2594
20perc_10repeat	0.7	0.6098	0.0564	0.1832	0.4785	0.265
25perc_2repeat	0.7	0.613	0.0549	0.2042	0.4796	0.2865
25perc_5repeat	0.7	0.6136	0.0575	0.1899	0.4733	0.271
25perc_10repeat	0.7	0.6308	0.049	0.2282	0.4624	0.3056
30perc_2repeat	0.7	0.6197	0.0607	0.1938	0.4688	0.2743
30perc_5repeat	0.7	0.6091	0.0594	0.1822	0.4748	0.2633
30perc_10repeat	0.7	0.5994	0.0565	0.1758	0.4772	0.257
5perc_2repeat	0.8	0.645	0.0644	0.2274	0.4709	0.3067
5perc_5repeat	0.8	0.6225	0.0511	0.212	0.4751	0.2932
5perc_10repeat	0.8	0.6264	0.0558	0.2133	0.4797	0.2953
10perc_2repeat	0.8	0.6528	0.0495	0.2271	0.4637	0.3049
10perc_5repeat	0.8	0.6346	0.0509	0.2265	0.4709	0.3059
10perc_10repeat	0.8	0.639	0.0528	0.219	0.4725	0.2993
15perc_2repeat	0.8	0.6452	0.0581	0.2488	0.4657	0.3244
15perc_5repeat	0.8	0.6357	0.0551	0.2219	0.4738	0.3022
15perc_10repeat	0.8	0.6293	0.0557	0.1979	0.4898	0.2818
20perc_2repeat	0.8	0.6417	0.0672	0.2472	0.468	0.3235
20perc_5repeat	0.8	0.6363	0.0736	0.2421	0.4719	0.32
20perc_10repeat	0.8	0.5958	0.0664	0.19	0.492	0.2741
25perc_2repeat	0.8	0.629	0.0732	0.207	0.4777	0.2889
25perc_5repeat	0.8	0.6398	0.0516	0.2224	0.4657	0.301
25perc_10repeat	0.8	0.6322	0.069	0.2231	0.4751	0.3036
30perc_2repeat	0.8	0.6301	0.0719	0.2149	0.4732	0.2955
30perc_5repeat	0.8	0.6258	0.0705	0.2039	0.4859	0.2873
30perc_10repeat	0.8	0.6236	0.0627	0.2044	0.4807	0.2868
5perc_2repeat	0.9	0.6395	0.0531	0.2392	0.4767	0.3186
5perc_5repeat	0.9	0.6598	0.0625	0.2617	0.4741	0.3373
5perc_10repeat	0.9	0.6438	0.0668	0.2372	0.48	0.3175
10perc_2repeat	0.9	0.6565	0.0727	0.2363	0.4813	0.317
10perc_5repeat	0.9	0.6469	0.0639	0.2346	0.4839	0.316
10perc_10repeat	0.9	0.6632	0.0688	0.2624	0.4616	0.3346
15perc_2repeat	0.9	0.6426	0.0469	0.2456	0.4721	0.3231
15perc_5repeat	0.9	0.6373	0.0713	0.2601	0.478	0.3369
15perc_10repeat	0.9	0.6671	0.0671	0.2536	0.461	0.3272
20perc_2repeat	0.9	0.6468	0.0608	0.2628	0.4715	0.3375
20perc_5repeat	0.9	0.6374	0.0629	0.2272	0.4695	0.3062
20perc_10repeat	0.9	0.6508	0.0604	0.2485	0.4636	0.3236
25perc_2repeat	0.9	0.6501	0.0495	0.2435	0.4774	0.3225
25perc_5repeat	0.9	0.6641	0.0836	0.2528	0.4793	0.331
25perc_10repeat	0.9	0.6462	0.0562	0.2458	0.4728	0.3234
30perc_2repeat	0.9	0.6608	0.0581	0.2471	0.4761	0.3253
30perc_5repeat	0.9	0.6329	0.0602	0.2384	0.4807	0.3187
30perc_10repeat	0.9	0.658	0.0451	0.2498	0.4695	0.3261



