Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
90perc_2repeat	0.25	0.2866	0.3671	0.0617	0.0044	0.3421	0.4167	0.3757
100perc_2repeat	0.25	0.3073	0.3178	0.0511	0.0036	0.3029	0.3715	0.3337
80perc_10repeat	0.25	0.341	0.338	0.0599	0.0042	0.3222	0.4137	0.3623
80perc_5repeat	0.25	0.3146	0.352	0.0591	0.0042	0.3301	0.4152	0.3678
90perc_5repeat	0.25	0.3459	0.33	0.0558	0.0039	0.3113	0.3886	0.3457
5perc_2repeat	0.35	0.2074	0.7024	0.0399	0.0028	0.7158	0.6388	0.6751
5perc_2repeat	0.3	0.2188	0.6858	0.0497	0.0035	0.6979	0.6374	0.6662
90perc_10repeat	0.25	0.3752	0.3257	0.0581	0.0041	0.3097	0.3898	0.3452
100perc_5repeat	0.25	0.3794	0.3184	0.0544	0.0038	0.3029	0.3746	0.3349
5perc_5repeat	0.3	0.2177	0.6854	0.0495	0.0035	0.6976	0.635	0.6649
15perc_5repeat	0.3	0.2177	0.68	0.0508	0.0036	0.6952	0.6223	0.6568
15perc_10repeat	0.3	0.2158	0.6829	0.0526	0.0037	0.6985	0.625	0.6597
40perc_2repeat	0.3	0.2288	0.6517	0.0641	0.0045	0.6713	0.6003	0.6338
30perc_10repeat	0.3	0.2196	0.6698	0.0557	0.0039	0.6907	0.5989	0.6416
90perc_2repeat	0.3	0.2844	0.363	0.0599	0.0042	0.3397	0.4087	0.371
100perc_2repeat	0.3	0.3038	0.3052	0.0406	0.0029	0.2919	0.3496	0.3181
90perc_10repeat	0.3	0.3688	0.3118	0.048	0.0034	0.2996	0.3702	0.3312
50perc_2repeat	0.3	0.2303	0.6417	0.0583	0.0041	0.6615	0.5852	0.621
90perc_5repeat	0.3	0.3388	0.3182	0.0491	0.0035	0.3032	0.3709	0.3337
100perc_5repeat	0.3	0.372	0.3048	0.0438	0.0031	0.29	0.3487	0.3167
50perc_5repeat	0.3	0.2405	0.6077	0.0633	0.0045	0.6185	0.572	0.5943
60perc_2repeat	0.3	0.2405	0.6103	0.0657	0.0046	0.6237	0.5805	0.6013
40perc_10repeat	0.3	0.2277	0.6518	0.0576	0.0041	0.6724	0.5927	0.63
40perc_5repeat	0.3	0.2286	0.6486	0.0629	0.0045	0.6684	0.5878	0.6255
100perc_10repeat	0.3	0.406	0.3068	0.0457	0.0032	0.2915	0.352	0.3189
70perc_2repeat	0.3	0.2503	0.5474	0.0514	0.0036	0.5526	0.4826	0.5152
80perc_2repeat	0.3	0.2653	0.4569	0.0587	0.0042	0.4323	0.4847	0.457
60perc_5repeat	0.3	0.2568	0.5061	0.054	0.0038	0.4929	0.4837	0.4883
50perc_10repeat	0.3	0.2456	0.5717	0.052	0.0037	0.5791	0.5517	0.5651
60perc_10repeat	0.3	0.267	0.4316	0.054	0.0038	0.4028	0.4606	0.4297
70perc_5repeat	0.3	0.2816	0.381	0.0642	0.0045	0.3572	0.4204	0.3862
100perc_10repeat	0.25	0.4141	0.321	0.0557	0.0039	0.3047	0.3792	0.3379
80perc_10repeat	0.3	0.332	0.3242	0.0561	0.004	0.3083	0.3813	0.341
80perc_5repeat	0.3	0.3089	0.3348	0.059	0.0042	0.3181	0.3891	0.3501
70perc_10repeat	0.3	0.3008	0.3467	0.055	0.0039	0.3365	0.4391	0.381
5perc_5repeat	0.35	0.2071	0.7026	0.0397	0.0028	0.7169	0.6363	0.6742
30perc_2repeat	0.35	0.2149	0.6809	0.0511	0.0036	0.6977	0.6165	0.6546
15perc_5repeat	0.35	0.2064	0.7004	0.0424	0.003	0.7167	0.6266	0.6686
40perc_2repeat	0.35	0.2179	0.6757	0.0535	0.0038	0.695	0.6066	0.6478
15perc_2repeat	0.35	0.2085	0.6964	0.042	0.003	0.7128	0.6268	0.667
30perc_5repeat	0.35	0.2134	0.6857	0.0478	0.0034	0.7053	0.6117	0.6552
15perc_10repeat	0.35	0.2068	0.6991	0.0406	0.0029	0.7163	0.6225	0.6661
40perc_5repeat	0.35	0.2238	0.6625	0.0578	0.0041	0.6831	0.5961	0.6367
5perc_10repeat	0.35	0.2066	0.7026	0.039	0.0028	0.717	0.6351	0.6736
30perc_10repeat	0.35	0.214	0.6858	0.0457	0.0032	0.7109	0.5911	0.6455
50perc_5repeat	0.35	0.2352	0.6249	0.0578	0.0041	0.6395	0.5693	0.6023
40perc_10repeat	0.35	0.2247	0.6628	0.0511	0.0036	0.6856	0.5831	0.6302
50perc_2repeat	0.35	0.2271	0.6487	0.0562	0.004	0.6724	0.5719	0.6181
60perc_2repeat	0.35	0.2356	0.6247	0.0624	0.0044	0.6365	0.5852	0.6097
50perc_10repeat	0.35	0.2426	0.5894	0.0532	0.0038	0.5958	0.5424	0.5679
70perc_2repeat	0.35	0.2484	0.5617	0.0627	0.0044	0.5603	0.5202	0.5395
60perc_5repeat	0.35	0.2572	0.5003	0.0554	0.0039	0.4892	0.5369	0.5119
60perc_10repeat	0.35	0.2689	0.4217	0.0545	0.0039	0.3965	0.4632	0.4273
15perc_10repeat	0.4	0.205	0.701	0.04	0.0028	0.7145	0.6364	0.6731
80perc_2repeat	0.35	0.2625	0.454	0.0582	0.0041	0.4262	0.4376	0.4318
30perc_2repeat	0.4	0.2108	0.6891	0.0484	0.0034	0.7041	0.6265	0.663
90perc_2repeat	0.35	0.2832	0.346	0.0543	0.0038	0.3307	0.4002	0.3622
30perc_5repeat	0.4	0.2113	0.6916	0.0467	0.0033	0.7099	0.6178	0.6606
70perc_5repeat	0.35	0.2807	0.3791	0.0531	0.0038	0.3612	0.4553	0.4029
40perc_2repeat	0.4	0.2165	0.679	0.052	0.0037	0.6962	0.6122	0.6515
40perc_5repeat	0.4	0.2212	0.6715	0.0502	0.0035	0.6891	0.6021	0.6427
80perc_5repeat	0.35	0.3078	0.3279	0.0493	0.0035	0.3156	0.3936	0.3503
30perc_10repeat	0.4	0.2125	0.6903	0.0456	0.0032	0.7104	0.6089	0.6558
70perc_10repeat	0.35	0.2972	0.3319	0.0526	0.0037	0.3197	0.3975	0.3544
40perc_10repeat	0.4	0.2235	0.6735	0.0519	0.0037	0.6924	0.5999	0.6428
50perc_2repeat	0.4	0.2236	0.6586	0.0583	0.0041	0.677	0.5937	0.6326
90perc_5repeat	0.35	0.3394	0.3034	0.0427	0.003	0.2968	0.3641	0.327
60perc_2repeat	0.4	0.2332	0.6352	0.0634	0.0045	0.6479	0.5853	0.615
5perc_2repeat	0.45	0.1982	0.7182	0.0311	0.0022	0.7216	0.6641	0.6916
50perc_5repeat	0.4	0.235	0.627	0.0583	0.0041	0.6449	0.5626	0.6009
30perc_2repeat	0.45	0.206	0.7033	0.0428	0.003	0.7118	0.6418	0.675
60perc_5repeat	0.4	0.255	0.5012	0.0554	0.0039	0.4884	0.501	0.4946
80perc_10repeat	0.35	0.3339	0.3082	0.0458	0.0032	0.307	0.389	0.3432
50perc_10repeat	0.4	0.2413	0.5934	0.0515	0.0036	0.5979	0.5419	0.5685
5perc_5repeat	0.45	0.1978	0.7185	0.0302	0.0021	0.7209	0.6676	0.6932
70perc_5repeat	0.4	0.2796	0.3627	0.0533	0.0038	0.3495	0.4342	0.3873
60perc_10repeat	0.4	0.2664	0.4041	0.0531	0.0038	0.3851	0.4565	0.4178
90perc_10repeat	0.35	0.3686	0.2973	0.0387	0.0027	0.2943	0.3648	0.3258
15perc_2repeat	0.45	0.2002	0.7123	0.035	0.0025	0.7173	0.656	0.6852
70perc_10repeat	0.4	0.2966	0.3232	0.0484	0.0034	0.3165	0.3942	0.3511
100perc_2repeat	0.35	0.3039	0.2914	0.0323	0.0023	0.2881	0.3494	0.3158
100perc_2repeat	0.4	0.3039	0.2874	0.0295	0.0021	0.282	0.3348	0.3061
15perc_5repeat	0.45	0.2009	0.7101	0.0367	0.0026	0.7184	0.6478	0.6812
100perc_5repeat	0.4	0.3726	0.2864	0.0326	0.0023	0.28	0.3333	0.3044
40perc_2repeat	0.45	0.2137	0.6877	0.0466	0.0033	0.7006	0.6143	0.6546
30perc_5repeat	0.45	0.2091	0.7015	0.0423	0.003	0.7121	0.6306	0.6689
90perc_10repeat	0.4	0.369	0.2924	0.0365	0.0026	0.2874	0.348	0.3148
15perc_10repeat	0.45	0.2003	0.7134	0.0353	0.0025	0.719	0.6544	0.6852
70perc_2repeat	0.4	0.2455	0.5667	0.0604	0.0043	0.5664	0.5192	0.5418
5perc_10repeat	0.45	0.1974	0.7194	0.0297	0.0021	0.7218	0.667	0.6933
50perc_2repeat	0.45	0.2209	0.6809	0.0527	0.0037	0.691	0.6152	0.6509
80perc_2repeat	0.4	0.2626	0.4356	0.0591	0.0042	0.4138	0.4655	0.4381
40perc_5repeat	0.45	0.2199	0.6827	0.0505	0.0036	0.6926	0.6181	0.6532
100perc_5repeat	0.35	0.3724	0.2901	0.035	0.0025	0.2865	0.3487	0.3146
80perc_5repeat	0.4	0.3085	0.3172	0.0448	0.0032	0.3103	0.3858	0.3439
90perc_2repeat	0.4	0.2815	0.3347	0.0521	0.0037	0.3151	0.3604	0.3362
30perc_10repeat	0.45	0.2106	0.6989	0.0431	0.003	0.7122	0.6253	0.6659
60perc_2repeat	0.45	0.2323	0.6433	0.0626	0.0044	0.6448	0.6238	0.6341
5perc_2repeat	0.4	0.2042	0.7073	0.0379	0.0027	0.716	0.6527	0.6829
50perc_5repeat	0.45	0.2339	0.6337	0.056	0.004	0.6444	0.5711	0.6055
40perc_10repeat	0.45	0.2222	0.6867	0.0445	0.0031	0.7012	0.6092	0.652
90perc_5repeat	0.4	0.3401	0.297	0.0388	0.0027	0.293	0.3572	0.3219
80perc_10repeat	0.4	0.3329	0.3011	0.0411	0.0029	0.3007	0.3782	0.335
70perc_2repeat	0.45	0.2458	0.5636	0.0597	0.0042	0.557	0.5299	0.5431
60perc_5repeat	0.45	0.2529	0.5093	0.057	0.004	0.4915	0.4709	0.4809
80perc_2repeat	0.45	0.2636	0.431	0.0585	0.0041	0.4059	0.4597	0.4311
50perc_10repeat	0.45	0.241	0.5974	0.0501	0.0035	0.5979	0.5558	0.5761
90perc_2repeat	0.45	0.2821	0.3172	0.0392	0.0028	0.3055	0.3685	0.3341
