Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
50perc_10repeat	0.05	0.427	0.0726	0.0051	0.0	0.0	0.0	0.4488	0.5239	0.0828	0.0059	0.5422	0.0154	0.0	0.494	0.0157	0.0
05perc_10repeat	0.1	0.4242	0.0647	0.0046	0.0	0.0	0.0	0.4377	0.5205	0.0594	0.0042	0.6153	0.0088	0.0	0.5749	0.0097	0.0
60perc_10repeat	0.05	0.424	0.0726	0.0051	0.0	0.0	0.0	0.4467	0.5239	0.0828	0.0059	0.5394	0.0146	0.0	0.4808	0.0159	0.0
50perc_5repeat	0.05	0.426	0.0693	0.0049	0.0	0.0	0.0	0.4496	0.5239	0.0829	0.0059	0.5517	0.0153	0.0	0.488	0.0166	0.0
90perc_10repeat	0.05	0.409	0.079	0.0056	0.0	0.0	0.0	0.4307	0.5239	0.0828	0.0059	0.524	0.0126	0.0	0.4618	0.0144	0.0
15perc_2repeat	0.2	0.3923	0.0612	0.0043	0.0	0.0	0.0	0.402	0.5283	0.04	0.0028	0.6333	0.0049	0.0	0.5712	0.0052	0.0
05perc_2repeat	0.2	0.3958	0.0612	0.0043	0.0	0.0	0.0	0.4038	0.5283	0.04	0.0028	0.6398	0.0051	0.0	0.5786	0.0055	0.0
50perc_2repeat	0.1	0.4062	0.0695	0.0049	0.0	0.0	0.0	0.4219	0.5205	0.0593	0.0042	0.5816	0.0081	0.0	0.5415	0.0085	0.0
05perc_5repeat	0.2	0.3967	0.0597	0.0042	0.0	0.0	0.0	0.4064	0.5282	0.0399	0.0028	0.6402	0.0051	0.0	0.5785	0.0054	0.0
50perc_5repeat	0.1	0.4023	0.073	0.0052	0.0	0.0	0.0	0.4184	0.5205	0.0594	0.0042	0.5763	0.0074	0.0	0.5362	0.008	0.0
60perc_2repeat	0.1	0.4061	0.0703	0.005	0.0	0.0	0.0	0.4213	0.5205	0.0593	0.0042	0.5799	0.0078	0.0	0.5385	0.0085	0.0
70perc_2repeat	0.1	0.3974	0.0719	0.0051	0.0	0.0	0.0	0.4116	0.5205	0.0593	0.0042	0.5657	0.008	0.0	0.5265	0.0081	0.0
80perc_2repeat	0.1	0.3947	0.0722	0.0051	0.0	0.0	0.0	0.4052	0.5205	0.0593	0.0042	0.5606	0.0072	0.0	0.5195	0.0079	0.0
100perc_2repeat	0.1	0.3852	0.0727	0.0051	0.0	0.0	0.0	0.3955	0.5205	0.0593	0.0042	0.5465	0.0074	0.0	0.504	0.0075	0.0
40perc_10repeat	0.1	0.4051	0.0706	0.005	0.0	0.0	0.0	0.4165	0.5205	0.0594	0.0042	0.5824	0.0074	0.0	0.5395	0.0083	0.0
90perc_2repeat	0.1	0.3875	0.0746	0.0053	0.0	0.0	0.0	0.4025	0.5205	0.0593	0.0042	0.5624	0.0068	0.0	0.5091	0.0078	0.0
70perc_5repeat	0.1	0.3881	0.0751	0.0053	0.0	0.0	0.0	0.4029	0.5205	0.0594	0.0042	0.5563	0.0069	0.0	0.5151	0.0074	0.0
60perc_5repeat	0.1	0.3995	0.0695	0.0049	0.0	0.0	0.0	0.4175	0.5205	0.0594	0.0042	0.572	0.0074	0.0	0.5257	0.008	0.0
90perc_5repeat	0.1	0.3736	0.0739	0.0052	0.0	0.0	0.0	0.3809	0.5205	0.0594	0.0042	0.5404	0.0063	0.0	0.4924	0.0071	0.0
80perc_5repeat	0.1	0.3822	0.0719	0.0051	0.0	0.0	0.0	0.3952	0.5205	0.0594	0.0042	0.5468	0.007	0.0	0.5013	0.0067	0.0
100perc_5repeat	0.1	0.3718	0.0738	0.0052	0.0	0.0	0.0	0.3889	0.5205	0.0594	0.0042	0.536	0.0066	0.0	0.492	0.0065	0.0
60perc_10repeat	0.1	0.3944	0.0707	0.005	0.0	0.0	0.0	0.4062	0.5205	0.0594	0.0042	0.5648	0.0068	0.0	0.5196	0.0075	0.0
70perc_10repeat	0.1	0.3848	0.073	0.0052	0.0	0.0	0.0	0.3939	0.5205	0.0594	0.0042	0.5544	0.0068	0.0	0.5098	0.0069	0.0
50perc_10repeat	0.1	0.4009	0.0705	0.005	0.0	0.0	0.0	0.4221	0.5205	0.0594	0.0042	0.5706	0.007	0.0	0.529	0.0077	0.0
80perc_10repeat	0.1	0.3807	0.0722	0.0051	0.0	0.0	0.0	0.3908	0.5205	0.0594	0.0042	0.5448	0.0061	0.0	0.4986	0.007	0.0
90perc_10repeat	0.1	0.3743	0.0729	0.0052	0.0	0.0	0.0	0.3829	0.5205	0.0594	0.0042	0.5373	0.0064	0.0	0.4917	0.0064	0.0
100perc_10repeat	0.1	0.3634	0.0721	0.0051	0.0	0.0	0.0	0.3646	0.5205	0.0594	0.0042	0.5246	0.0061	0.0	0.4802	0.006	0.0
70perc_10repeat	0.2	0.3555	0.0672	0.0047	0.0	0.0	0.0	0.357	0.5282	0.0399	0.0028	0.5764	0.0039	0.0	0.5099	0.0039	0.0
05perc_10repeat	0.2	0.3955	0.0604	0.0043	0.0	0.0	0.0	0.4039	0.5282	0.0399	0.0028	0.64	0.0051	0.0	0.5784	0.0054	0.0
50perc_2repeat	0.25	0.3732	0.0651	0.0046	0.0	0.0	0.0	0.3821	0.5285	0.0368	0.0026	0.6043	0.0043	0.0	0.5423	0.0039	0.0
80perc_2repeat	0.2	0.3624	0.0662	0.0047	0.0	0.0	0.0	0.3659	0.5283	0.04	0.0028	0.5823	0.0043	0.0	0.5161	0.0046	0.0
05perc_2repeat	0.25	0.3909	0.0631	0.0045	0.0	0.0	0.0	0.4036	0.5285	0.0368	0.0026	0.6355	0.0048	0.0	0.577	0.0043	0.0
30perc_2repeat	0.2	0.3891	0.0598	0.0042	0.0	0.0	0.0	0.3985	0.5283	0.04	0.0028	0.6254	0.0048	0.0	0.5609	0.0051	0.0
15perc_2repeat	0.25	0.3873	0.0638	0.0045	0.0	0.0	0.0	0.4001	0.5285	0.0368	0.0026	0.6285	0.0046	0.0	0.5694	0.0042	0.0
30perc_2repeat	0.25	0.3796	0.0674	0.0048	0.0	0.0	0.0	0.3925	0.5285	0.0368	0.0026	0.6164	0.0045	0.0	0.5554	0.0041	0.0
90perc_2repeat	0.2	0.3524	0.0688	0.0049	0.0	0.0	0.0	0.3608	0.5283	0.04	0.0028	0.5792	0.0042	0.0	0.5117	0.0042	0.0
80perc_5repeat	0.2	0.3506	0.0684	0.0048	0.0	0.0	0.0	0.3497	0.5282	0.0399	0.0028	0.57	0.0041	0.0	0.5047	0.004	0.0
100perc_2repeat	0.2	0.3511	0.0695	0.0049	0.0	0.0	0.0	0.3544	0.5283	0.04	0.0028	0.5688	0.0041	0.0	0.5047	0.0043	0.0
15perc_5repeat	0.2	0.3913	0.0623	0.0044	0.0	0.0	0.0	0.3983	0.5282	0.0399	0.0028	0.6302	0.005	0.0	0.5689	0.0052	0.0
05perc_5repeat	0.25	0.3913	0.0628	0.0044	0.0	0.0	0.0	0.4075	0.5285	0.0369	0.0026	0.6358	0.0047	0.0	0.5767	0.0043	0.0
40perc_2repeat	0.25	0.3774	0.067	0.0047	0.0	0.0	0.0	0.3924	0.5285	0.0368	0.0026	0.6082	0.0044	0.0	0.5487	0.0041	0.0
40perc_2repeat	0.2	0.3836	0.0627	0.0044	0.0	0.0	0.0	0.3914	0.5283	0.04	0.0028	0.6159	0.0046	0.0	0.5504	0.0048	0.0
15perc_5repeat	0.25	0.3855	0.0645	0.0046	0.0	0.0	0.0	0.3985	0.5285	0.0369	0.0026	0.6258	0.0045	0.0	0.5655	0.0041	0.0
90perc_5repeat	0.2	0.3412	0.0675	0.0048	0.0	0.0	0.0	0.3414	0.5282	0.0399	0.0028	0.5591	0.004	0.0	0.494	0.0039	0.0
30perc_5repeat	0.25	0.3792	0.0671	0.0047	0.0	0.0	0.0	0.3943	0.5285	0.0369	0.0026	0.614	0.0044	0.0	0.5533	0.0039	0.0
100perc_5repeat	0.2	0.3375	0.0646	0.0046	0.0	0.0	0.0	0.3336	0.5282	0.0399	0.0028	0.5482	0.0037	0.0	0.4827	0.0041	0.0
50perc_2repeat	0.2	0.3747	0.066	0.0047	0.0	0.0	0.0	0.3859	0.5283	0.04	0.0028	0.6048	0.0046	0.0	0.5427	0.0046	0.0
70perc_2repeat	0.2	0.3666	0.0637	0.0045	0.0	0.0	0.0	0.3782	0.5283	0.04	0.0028	0.5901	0.0044	0.0	0.5265	0.0044	0.0
40perc_5repeat	0.2	0.3758	0.0655	0.0046	0.0	0.0	0.0	0.3846	0.5282	0.0399	0.0028	0.6065	0.0044	0.0	0.5439	0.0048	0.0
30perc_5repeat	0.2	0.3828	0.061	0.0043	0.0	0.0	0.0	0.3892	0.5282	0.0399	0.0028	0.6182	0.0046	0.0	0.5555	0.0049	0.0
60perc_2repeat	0.2	0.3736	0.064	0.0045	0.0	0.0	0.0	0.378	0.5283	0.04	0.0028	0.603	0.0044	0.0	0.5367	0.0046	0.0
50perc_10repeat	0.25	0.3634	0.0686	0.0049	0.0	0.0	0.0	0.3757	0.5285	0.0369	0.0026	0.59	0.0041	0.0	0.5271	0.0035	0.0
40perc_5repeat	0.25	0.3741	0.0666	0.0047	0.0	0.0	0.0	0.3847	0.5285	0.0369	0.0026	0.6046	0.0044	0.0	0.5416	0.0039	0.0
50perc_5repeat	0.2	0.3724	0.0658	0.0047	0.0	0.0	0.0	0.379	0.5282	0.0399	0.0028	0.597	0.0044	0.0	0.5312	0.0045	0.0
80perc_10repeat	0.2	0.3442	0.0665	0.0047	0.0	0.0	0.0	0.3423	0.5282	0.0399	0.0028	0.5617	0.0037	0.0	0.4957	0.0039	0.0
05perc_10repeat	0.25	0.3905	0.0629	0.0044	0.0	0.0	0.0	0.4053	0.5285	0.0369	0.0026	0.6353	0.0047	0.0	0.576	0.0043	0.0
90perc_10repeat	0.2	0.3365	0.0676	0.0048	0.0	0.0	0.0	0.33	0.5282	0.0399	0.0028	0.5528	0.0036	0.0	0.4862	0.0038	0.0
100perc_10repeat	0.2	0.3312	0.0623	0.0044	0.0	0.0	0.0	0.3214	0.5282	0.0399	0.0028	0.5385	0.0036	0.0	0.4707	0.0038	0.0
60perc_5repeat	0.2	0.363	0.0675	0.0048	0.0	0.0	0.0	0.3688	0.5282	0.0399	0.0028	0.5877	0.0042	0.0	0.5218	0.0044	0.0
15perc_10repeat	0.25	0.385	0.0644	0.0046	0.0	0.0	0.0	0.3987	0.5285	0.0369	0.0026	0.6256	0.0045	0.0	0.5654	0.0042	0.0
15perc_10repeat	0.2	0.3902	0.0628	0.0044	0.0	0.0	0.0	0.401	0.5282	0.0399	0.0028	0.6304	0.0049	0.0	0.5685	0.0052	0.0
70perc_5repeat	0.2	0.358	0.0669	0.0047	0.0	0.0	0.0	0.3645	0.5282	0.0399	0.0028	0.5822	0.0039	0.0	0.5155	0.0042	0.0
30perc_10repeat	0.25	0.3774	0.0677	0.0048	0.0	0.0	0.0	0.3933	0.5285	0.0369	0.0026	0.6111	0.0043	0.0	0.5502	0.0039	0.0
30perc_10repeat	0.2	0.3799	0.0653	0.0046	0.0	0.0	0.0	0.3909	0.5282	0.0399	0.0028	0.615	0.0046	0.0	0.5511	0.0048	0.0
40perc_10repeat	0.2	0.3736	0.0655	0.0046	0.0	0.0	0.0	0.3849	0.5282	0.0399	0.0028	0.6021	0.0044	0.0	0.5373	0.0045	0.0
40perc_10repeat	0.25	0.3696	0.0692	0.0049	0.0	0.0	0.0	0.3868	0.5285	0.0369	0.0026	0.6016	0.0042	0.0	0.5393	0.0037	0.0
50perc_10repeat	0.2	0.368	0.0671	0.0047	0.0	0.0	0.0	0.378	0.5282	0.0399	0.0028	0.5947	0.0042	0.0	0.5301	0.0044	0.0
60perc_10repeat	0.2	0.3592	0.0669	0.0047	0.0	0.0	0.0	0.3643	0.5282	0.0399	0.0028	0.5822	0.0041	0.0	0.5171	0.0042	0.0
30perc_2repeat	0.3	0.3706	0.0578	0.0041	0.0	0.0	0.0	0.379	0.5285	0.0304	0.0021	0.6213	0.0033	0.0	0.5625	0.0036	0.0
50perc_5repeat	0.25	0.368	0.07	0.005	0.0	0.0	0.0	0.3816	0.5285	0.0369	0.0026	0.5951	0.0043	0.0	0.5335	0.0039	0.0
60perc_2repeat	0.25	0.3707	0.0664	0.0047	0.0	0.0	0.0	0.3809	0.5285	0.0368	0.0026	0.5956	0.0044	0.0	0.5326	0.0039	0.0
70perc_2repeat	0.25	0.3653	0.0679	0.0048	0.0	0.0	0.0	0.3758	0.5285	0.0368	0.0026	0.5891	0.0041	0.0	0.526	0.004	0.0
80perc_10repeat	0.3	0.3346	0.0607	0.0043	0.0	0.0	0.0	0.3418	0.5285	0.0303	0.0021	0.5616	0.0028	0.0	0.4979	0.003	0.0
80perc_2repeat	0.25	0.3593	0.0695	0.0049	0.0	0.0	0.0	0.3715	0.5285	0.0368	0.0026	0.5834	0.004	0.0	0.5205	0.0039	0.0
05perc_2repeat	0.3	0.3796	0.057	0.004	0.0	0.0	0.0	0.3879	0.5285	0.0304	0.0021	0.6404	0.0035	0.0	0.5843	0.0038	0.0
90perc_2repeat	0.25	0.3566	0.0678	0.0048	0.0	0.0	0.0	0.3624	0.5285	0.0368	0.0026	0.5779	0.0041	0.0	0.5143	0.0038	0.0
60perc_5repeat	0.25	0.3606	0.0717	0.0051	0.0	0.0	0.0	0.3699	0.5285	0.0369	0.0026	0.5866	0.004	0.0	0.523	0.0038	0.0
100perc_2repeat	0.25	0.3531	0.0672	0.0048	0.0	0.0	0.0	0.3587	0.5285	0.0368	0.0026	0.5673	0.0038	0.0	0.5014	0.0039	0.0
70perc_5repeat	0.25	0.3552	0.0695	0.0049	0.0	0.0	0.0	0.3665	0.5285	0.0369	0.0026	0.5769	0.0039	0.0	0.5124	0.0037	0.0
40perc_2repeat	0.3	0.3681	0.0583	0.0041	0.0	0.0	0.0	0.378	0.5285	0.0304	0.0021	0.616	0.0033	0.0	0.5568	0.0035	0.0
80perc_5repeat	0.25	0.3506	0.0682	0.0048	0.0	0.0	0.0	0.3584	0.5285	0.0369	0.0026	0.5669	0.0037	0.0	0.5011	0.0036	0.0
90perc_5repeat	0.25	0.3439	0.068	0.0048	0.0	0.0	0.0	0.345	0.5285	0.0369	0.0026	0.5589	0.0037	0.0	0.4936	0.0036	0.0
50perc_2repeat	0.3	0.3591	0.0622	0.0044	0.0	0.0	0.0	0.3684	0.5285	0.0304	0.0021	0.6075	0.0033	0.0	0.5471	0.0033	0.0
100perc_5repeat	0.25	0.3408	0.067	0.0047	0.0	0.0	0.0	0.3443	0.5285	0.0369	0.0026	0.5492	0.0036	0.0	0.4844	0.0036	0.0
30perc_5repeat	0.3	0.3651	0.0634	0.0045	0.0	0.0	0.0	0.3799	0.5285	0.0303	0.0021	0.6168	0.0032	0.0	0.5578	0.0034	0.0
40perc_5repeat	0.3	0.3622	0.0592	0.0042	0.0	0.0	0.0	0.3693	0.5285	0.0303	0.0021	0.6072	0.0032	0.0	0.5484	0.0034	0.0
70perc_10repeat	0.25	0.3511	0.0694	0.0049	0.0	0.0	0.0	0.3534	0.5285	0.0369	0.0026	0.5704	0.0037	0.0	0.506	0.0036	0.0
100perc_10repeat	0.25	0.3365	0.0655	0.0046	0.0	0.0	0.0	0.3313	0.5285	0.0369	0.0026	0.5418	0.0035	0.0	0.4749	0.0035	0.0
40perc_10repeat	0.3	0.3586	0.0625	0.0044	0.0	0.0	0.0	0.3705	0.5285	0.0303	0.0021	0.6044	0.0031	0.0	0.5451	0.0033	0.0
50perc_10repeat	0.3	0.3523	0.0629	0.0044	0.0	0.0	0.0	0.3628	0.5285	0.0303	0.0021	0.593	0.0029	0.0	0.5315	0.0033	0.0
60perc_10repeat	0.3	0.3459	0.0631	0.0045	0.0	0.0	0.0	0.3529	0.5285	0.0303	0.0021	0.5835	0.0028	0.0	0.5213	0.003	0.0
70perc_10repeat	0.3	0.3401	0.0616	0.0044	0.0	0.0	0.0	0.3492	0.5285	0.0303	0.0021	0.5721	0.0028	0.0	0.5092	0.003	0.0
100perc_2repeat	0.3	0.3405	0.061	0.0043	0.0	0.0	0.0	0.3485	0.5285	0.0304	0.0021	0.5691	0.003	0.0	0.5063	0.0032	0.0
15perc_2repeat	0.3	0.3766	0.0573	0.0041	0.0	0.0	0.0	0.3827	0.5285	0.0304	0.0021	0.6328	0.0034	0.0	0.5747	0.0038	0.0
05perc_5repeat	0.3	0.3785	0.0574	0.0041	0.0	0.0	0.0	0.3879	0.5285	0.0303	0.0021	0.6396	0.0035	0.0	0.5827	0.0038	0.0
60perc_2repeat	0.3	0.3566	0.0615	0.0043	0.0	0.0	0.0	0.3715	0.5285	0.0304	0.0021	0.5985	0.0032	0.0	0.5383	0.0034	0.0
15perc_5repeat	0.3	0.376	0.0555	0.0039	0.0	0.0	0.0	0.3845	0.5285	0.0303	0.0021	0.6305	0.0034	0.0	0.572	0.0036	0.0
70perc_2repeat	0.3	0.3508	0.0626	0.0044	0.0	0.0	0.0	0.3625	0.5285	0.0304	0.0021	0.5908	0.0031	0.0	0.5296	0.0033	0.0
80perc_2repeat	0.3	0.3482	0.0634	0.0045	0.0	0.0	0.0	0.3568	0.5285	0.0304	0.0021	0.5849	0.0031	0.0	0.5243	0.0032	0.0
50perc_5repeat	0.3	0.3546	0.0641	0.0045	0.0	0.0	0.0	0.3666	0.5285	0.0303	0.0021	0.597	0.0031	0.0	0.5355	0.0032	0.0
