Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
90perc_2repeat	0.1	0.6651	0.2779	0.1789	0.0126	0.1919	0.8871	0.3156	0.1847	0.4388	0.0177	0.0013	0.6575	0.0058	0.0	0.727	0.0061	0.0
60perc_2repeat	0.1	0.1803	0.7983	0.1077	0.0076	0.019	0.0377	0.0253	0.822	0.5682	0.0252	0.0018	0.6415	0.0041	0.0	0.5231	0.0061	0.0
80perc_5repeat	0.1	0.7723	0.1786	0.0069	0.0005	0.1781	0.999	0.3024	0.1776	0.3906	0.0197	0.0014	0.5215	0.0043	0.0	0.6933	0.0044	0.0
80perc_2repeat	0.1	0.4292	0.4919	0.2916	0.0206	0.17	0.534	0.2579	0.4675	0.4798	0.0193	0.0014	0.6291	0.0053	0.0	0.653	0.0063	0.0
70perc_5repeat	0.1	0.6391	0.2362	0.178	0.0126	0.18	0.9118	0.3007	0.1796	0.4536	0.0185	0.0013	0.5292	0.0035	0.0	0.6126	0.0041	0.0
30perc_5repeat	0.2	0.1741	0.8209	0.0084	0.0006	0.0	0.0	0.0	0.8211	0.6663	0.0222	0.0016	0.695	0.0022	0.0	0.3622	0.0033	0.0
100perc_2repeat	0.1	0.7345	0.2356	0.1455	0.0103	0.186	0.9325	0.3101	0.1796	0.3939	0.0164	0.0012	0.6948	0.0085	0.0	0.7958	0.0066	0.0
90perc_5repeat	0.1	0.7946	0.1802	0.0207	0.0015	0.1787	0.9989	0.3032	0.1791	0.3416	0.0293	0.0021	0.5409	0.0059	0.0	0.7608	0.0056	0.0
70perc_2repeat	0.1	0.2247	0.7459	0.1848	0.0131	0.1013	0.1284	0.1133	0.8183	0.5235	0.0225	0.0016	0.6294	0.0046	0.0	0.5864	0.0064	0.0
60perc_5repeat	0.1	0.3354	0.5421	0.3018	0.0213	0.1622	0.4435	0.2375	0.7614	0.4997	0.0188	0.0013	0.5553	0.0034	0.0	0.5581	0.004	0.0
100perc_5repeat	0.1	0.8026	0.1827	0.0349	0.0025	0.179	0.9956	0.3034	0.1796	0.2827	0.0308	0.0022	0.5892	0.0103	0.0	0.8305	0.0061	0.0
80perc_10repeat	0.1	0.7826	0.1792	0.02	0.0014	0.1779	0.9992	0.3021	0.1776	0.3544	0.0261	0.0018	0.4468	0.0037	0.0	0.6961	0.004	0.0
70perc_10repeat	0.1	0.7239	0.1865	0.0659	0.0047	0.178	0.989	0.3017	0.1784	0.4165	0.0201	0.0014	0.4737	0.0031	0.0	0.6277	0.0034	0.0
60perc_10repeat	0.1	0.5266	0.2596	0.2039	0.0144	0.1821	0.8765	0.3016	0.1816	0.4714	0.0142	0.001	0.5087	0.0026	0.0	0.5632	0.0028	0.0
100perc_10repeat	0.1	0.8084	0.1813	0.0235	0.0017	0.1783	0.997	0.3024	0.1776	0.2375	0.0416	0.0029	0.5266	0.0124	0.0	0.8474	0.0057	0.0
90perc_10repeat	0.1	0.8046	0.1778	0.0057	0.0004	0.1778	0.9999	0.3019	0.1776	0.3023	0.0332	0.0023	0.4494	0.006	0.0	0.7673	0.0044	0.0
5perc_10repeat	0.2	0.1769	0.8222	0.0079	0.0006	0.0	0.0	0.0	0.8234	0.7944	0.0293	0.0021	0.8302	0.0024	0.0	0.2815	0.0068	0.0
15perc_10repeat	0.2	0.1757	0.8222	0.0081	0.0006	0.0	0.0	0.0	0.8211	0.7359	0.0246	0.0017	0.7658	0.0023	0.0	0.2965	0.0042	0.0
30perc_10repeat	0.2	0.1705	0.8229	0.0086	0.0006	0.0	0.0	0.0	0.8211	0.6494	0.0197	0.0014	0.6685	0.002	0.0	0.3637	0.0027	0.0
40perc_2repeat	0.2	0.1727	0.8219	0.008	0.0006	0.0	0.0	0.0	0.8222	0.6548	0.0232	0.0016	0.6951	0.0025	0.0	0.4041	0.0036	0.0
40perc_5repeat	0.2	0.1683	0.8216	0.0082	0.0006	0.0	0.0	0.0	0.8211	0.6115	0.0177	0.0012	0.6395	0.002	0.0	0.4169	0.0027	0.0
50perc_2repeat	0.2	0.1698	0.8218	0.0078	0.0006	0.0	0.0	0.0	0.8211	0.6101	0.0204	0.0014	0.6672	0.0025	0.0	0.4732	0.0034	0.0
40perc_10repeat	0.2	0.1644	0.822	0.0076	0.0005	0.0	0.0	0.0	0.8211	0.5915	0.0129	0.0009	0.6122	0.0016	0.0	0.4266	0.002	0.0
50perc_5repeat	0.2	0.1588	0.8223	0.0078	0.0006	0.0208	0.0008	0.0016	0.8233	0.5552	0.0149	0.0011	0.5896	0.0018	0.0	0.484	0.0024	0.0
5perc_2repeat	0.25	0.1773	0.8219	0.01	0.0007	0.0	0.0	0.0	0.8211	0.8037	0.0288	0.002	0.842	0.0026	0.0	0.2774	0.006	0.0
15perc_2repeat	0.25	0.1763	0.8221	0.0107	0.0008	0.0	0.0	0.0	0.8235	0.7592	0.0284	0.002	0.7891	0.0025	0.0	0.2976	0.0053	0.0
30perc_2repeat	0.25	0.1746	0.8219	0.0094	0.0007	0.0	0.0	0.0	0.8223	0.694	0.021	0.0015	0.7296	0.0021	0.0	0.3535	0.0035	0.0
40perc_2repeat	0.25	0.1717	0.8226	0.0092	0.0006	0.0	0.0	0.0	0.8223	0.6516	0.0185	0.0013	0.6928	0.002	0.0	0.4093	0.0031	0.0
50perc_2repeat	0.25	0.1697	0.8215	0.0096	0.0007	0.0034	0.0001	0.0001	0.8211	0.608	0.0177	0.0012	0.6661	0.0021	0.0	0.4696	0.0028	0.0
60perc_2repeat	0.25	0.165	0.8221	0.0086	0.0006	0.0477	0.0017	0.0032	0.8219	0.5647	0.0151	0.0011	0.6458	0.0019	0.0	0.5367	0.0027	0.0
15perc_5repeat	0.25	0.1756	0.8225	0.0089	0.0006	0.0	0.0	0.0	0.8235	0.7419	0.0227	0.0016	0.7735	0.0021	0.0	0.3001	0.0041	0.0
