Label	trainingSize	Label1	Error
original	0.3	averageLearningVariance	0.2469
original	0.3	averageTotalBias	0.2125
original	0.3	averageTotalVariance	0.0875
original	0.3	averageInferenceBias	0.0107
original	0.3	averageInferenceVariance	0.1594
100perc_2repeat	0.3	meanSquaredLoss	0.343
100perc_2repeat	0.3	averageLearningBias	0.1539
100perc_2repeat	0.3	averageLearningVariance	0.2373
100perc_2repeat	0.3	averageTotalBias	0.2149
100perc_2repeat	0.3	averageTotalVariance	0.0946
100perc_2repeat	0.3	averageInferenceBias	0.061
100perc_2repeat	0.3	averageInferenceVariance	0.1427
60perc_10repeat	0.25	meanSquaredLoss	0.2726
60perc_10repeat	0.25	averageLearningBias	0.2188
60perc_10repeat	0.25	averageLearningVariance	0.2486
60perc_10repeat	0.25	averageTotalBias	0.245
60perc_10repeat	0.25	averageTotalVariance	0.0254
60perc_10repeat	0.25	averageInferenceBias	0.0262
60perc_10repeat	0.25	averageInferenceVariance	0.2232
100perc_2repeat	0.1	meanSquaredLoss	0.4136
100perc_2repeat	0.1	averageLearningBias	0.1742
100perc_2repeat	0.1	averageLearningVariance	0.2395
100perc_2repeat	0.1	averageTotalBias	0.2468
100perc_2repeat	0.1	averageTotalVariance	0.1158
100perc_2repeat	0.1	averageInferenceBias	0.0726
100perc_2repeat	0.1	averageInferenceVariance	0.1237
original	0.1	meanSquaredLoss	0.4151
original	0.1	averageLearningBias	0.213
original	0.1	averageLearningVariance	0.2479
original	0.1	averageTotalBias	0.2427
original	0.1	averageTotalVariance	0.0436
original	0.1	averageInferenceBias	0.0297
original	0.1	averageInferenceVariance	0.2043
100perc_2repeat	0.05	meanSquaredLoss	0.4244
100perc_2repeat	0.05	averageLearningBias	0.1958
100perc_2repeat	0.05	averageLearningVariance	0.2416
100perc_2repeat	0.05	averageTotalBias	0.2476
100perc_2repeat	0.05	averageTotalVariance	0.1296
100perc_2repeat	0.05	averageInferenceBias	0.0518
100perc_2repeat	0.05	averageInferenceVariance	0.112
60perc_10repeat	0.1	meanSquaredLoss	0.3092
60perc_10repeat	0.1	averageLearningBias	0.2223
60perc_10repeat	0.1	averageLearningVariance	0.2481
60perc_10repeat	0.1	averageTotalBias	0.2487
60perc_10repeat	0.1	averageTotalVariance	0.0524
60perc_10repeat	0.1	averageInferenceBias	0.0264
60perc_10repeat	0.1	averageInferenceVariance	0.1957
original	0.05	meanSquaredLoss	0.4221
original	0.05	averageLearningBias	0.2176
original	0.05	averageLearningVariance	0.2485
original	0.05	averageTotalBias	0.2469
original	0.05	averageTotalVariance	0.0384
original	0.05	averageInferenceBias	0.0293
original	0.05	averageInferenceVariance	0.2101
60perc_10repeat	0.05	meanSquaredLoss	0.3381
60perc_10repeat	0.05	averageLearningBias	0.2345
60perc_10repeat	0.05	averageLearningVariance	0.247
60perc_10repeat	0.05	averageTotalBias	0.2502
60perc_10repeat	0.05	averageTotalVariance	0.0714
60perc_10repeat	0.05	averageInferenceBias	0.0157
60perc_10repeat	0.05	averageInferenceVariance	0.1756
