Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
40perc_2repeat	0.2	0.3263	0.5167	0.0382	0.0027	0.4404	0.3447	0.3867	0.5203	0.5117	0.0273	0.0019	0.5543	0.0035	0.0	0.525	0.0036	0.0
50perc_2repeat	0.2	0.3231	0.5133	0.0376	0.0027	0.4334	0.3935	0.4125	0.521	0.5091	0.0245	0.0017	0.5478	0.0033	0.0	0.5258	0.0035	0.0
05prec_5repeat	0.25	0.383	0.5224	0.0358	0.0025	0.4991	0.2243	0.3095	0.5217	0.527	0.0325	0.0023	0.6284	0.0039	0.0	0.5654	0.0044	0.0
15perc_5repeat	0.25	0.3491	0.524	0.0342	0.0024	0.4367	0.2321	0.3031	0.5242	0.5212	0.0273	0.0019	0.5891	0.0033	0.0	0.5327	0.0035	0.0
90perc_5repeat	0.2	0.3597	0.5067	0.0387	0.0027	0.531	0.7142	0.6091	0.4878	0.4837	0.0203	0.0014	0.5626	0.0034	0.0	0.5921	0.0036	0.0
100perc_5repeat	0.2	0.399	0.5059	0.036	0.0025	0.5414	0.688	0.6059	0.4879	0.482	0.0274	0.0019	0.5952	0.0048	0.0	0.6325	0.0042	0.0
30perc_5repeat	0.25	0.3208	0.5221	0.0399	0.0028	0.3966	0.2816	0.3294	0.5222	0.5159	0.0226	0.0016	0.5553	0.0026	0.0	0.5141	0.0028	0.0
60perc_2repeat	0.2	0.3113	0.5199	0.0392	0.0028	0.4863	0.3725	0.4219	0.5258	0.5068	0.0213	0.0015	0.5491	0.0028	0.0	0.5317	0.003	0.0
80perc_10repeat	0.2	0.3349	0.5059	0.0412	0.0029	0.5077	0.6974	0.5876	0.4859	0.4898	0.0206	0.0015	0.5301	0.0028	0.0	0.5598	0.0029	0.0
70perc_2repeat	0.2	0.3129	0.522	0.0408	0.0029	0.5251	0.4386	0.4779	0.5237	0.5038	0.0186	0.0013	0.5562	0.0027	0.0	0.5498	0.003	0.0
40perc_5repeat	0.25	0.288	0.5179	0.0372	0.0026	0.4438	0.3288	0.3777	0.5212	0.5093	0.0178	0.0013	0.5318	0.0021	0.0	0.509	0.002	0.0
40perc_5repeat	0.2	0.3082	0.5121	0.0333	0.0024	0.4283	0.3269	0.3708	0.52	0.5099	0.0203	0.0014	0.536	0.0028	0.0	0.5098	0.0027	0.0
80perc_2repeat	0.2	0.317	0.52	0.0434	0.0031	0.5462	0.5369	0.5415	0.5219	0.4974	0.0175	0.0012	0.5592	0.0032	0.0	0.565	0.0034	0.0
