Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1
Median_0perc_0repeat	0.4	0.5252	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5604	0.0597	0.0119	0.6586	0.1897	0.2946
Median_0perc_0repeat	0.4	0.5329	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5448	0.0548	0.011	0.6501	0.2429	0.3537
Median_0perc_0repeat	0.4	0.5449	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5481	0.0623	0.0125	0.6576	0.2415	0.3533
Median_0perc_0repeat	0.4	0.5266	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5495	0.0554	0.0111	0.6844	0.25	0.3663
Median_0perc_0repeat	0.4	0.5403	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5629	0.0543	0.0109	0.6657	0.2786	0.3928
Median_0perc_0repeat	0.4	0.5618	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5663	0.058	0.0116	0.6999	0.2409	0.3585
Median_0perc_0repeat	0.4	0.5414	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5779	0.0543	0.0109	0.7305	0.2578	0.3811
Median_0perc_0repeat	0.4	0.5573	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5669	0.058	0.0116	0.6743	0.2651	0.3806
Median_0perc_0repeat	0.4	0.5475	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5535	0.048	0.0096	0.6389	0.2299	0.3382
Median_0perc_0repeat	0.4	0.5281	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5379	0.0479	0.0096	0.6223	0.2439	0.3504
Median_0perc_0repeat	0.4	0.5295	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5551	0.0513	0.0103	0.597	0.1387	0.2252
Median_0perc_0repeat	0.4	0.5372	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5598	0.0468	0.0094	0.7007	0.1929	0.3025
Median_0perc_0repeat	0.4	0.5408	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5557	0.062	0.0124	0.6005	0.3924	0.4746
Median_0perc_0repeat	0.4	0.5397	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5559	0.0513	0.0103	0.63	0.216	0.3217
Median_0perc_0repeat	0.4	0.5386	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5615	0.0409	0.0082	0.6992	0.2745	0.3942
Median_0perc_0repeat	0.4	0.5617	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5529	0.056	0.0112	0.6281	0.3059	0.4114
Median_0perc_0repeat	0.4	0.5355	0.0	0.0	0.0	0.0	0.0
0perc_0repeat	0.4	0.5453	0.045	0.009	0.6315	0.3255	0.4296
Median_0perc_0repeat	0.4	0.5457	0.0	0.0	0.0	0.0	0.0
