Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
original	0.4	0.5564	0.0577	0.0041	0.6414	0.2358	0.3449	0.5425	0.527	0.0243	0.0017	0.6402	0.003	0.0	0.4147	0.0031	0.0
original	0.4	0.5529	0.0543	0.0038	0.646	0.2173	0.3253	0.5374	0.5277	0.0252	0.0018	0.6461	0.0027	0.0	0.4149	0.0029	0.0
original	0.4	0.5539	0.0484	0.0034	0.6598	0.1895	0.2944	0.5434	0.5275	0.0221	0.0016	0.6434	0.0029	0.0	0.4188	0.0027	0.0
original	0.4	0.5571	0.0546	0.0039	0.6384	0.2438	0.3528	0.5444	0.5256	0.0246	0.0017	0.6409	0.0029	0.0	0.411	0.003	0.0
original	0.4	0.5478	0.0465	0.0033	0.652	0.205	0.3119	0.5362	0.5302	0.0233	0.0017	0.6442	0.0028	0.0	0.4162	0.0027	0.0
original	0.4	0.5557	0.0511	0.0036	0.6428	0.2077	0.3139	0.5433	0.5282	0.0231	0.0016	0.6404	0.0027	0.0	0.4182	0.0027	0.0
original	0.4	0.5489	0.0535	0.0038	0.6373	0.2354	0.3438	0.5371	0.5268	0.0257	0.0018	0.6425	0.0028	0.0	0.4139	0.003	0.0
original	0.4	0.5577	0.0551	0.0039	0.6629	0.235	0.347	0.5456	0.5264	0.0247	0.0017	0.6431	0.0027	0.0	0.4112	0.0027	0.0
original	0.4	0.5468	0.0494	0.0035	0.6433	0.2128	0.3198	0.5341	0.5296	0.0265	0.0019	0.6424	0.0031	0.0	0.4178	0.0029	0.0
original	0.4	0.5487	0.0499	0.0035	0.6292	0.2091	0.3138	0.5349	0.5307	0.0245	0.0017	0.6464	0.0026	0.0	0.4198	0.0031	0.0
original	0.4	0.5527	0.0496	0.0035	0.6479	0.2482	0.3589	0.5446	0.5255	0.0256	0.0018	0.6395	0.0027	0.0	0.4125	0.003	0.0
original	0.4	0.5493	0.0535	0.0038	0.6398	0.2297	0.338	0.5392	0.5297	0.026	0.0018	0.6437	0.0029	0.0	0.4143	0.0031	0.0
