Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
60perc_10repeat	0.05	0.3353	0.5765	0.1563	0.0111	0.5481	0.6008	0.5733	0.5218	0.502	0.0163	0.0011	0.5373	0.0026	0.0	0.5378	0.0028	0.0
70perc_10repeat	0.05	0.3262	0.625	0.1922	0.0136	0.5975	0.6157	0.6065	0.5238	0.5067	0.0218	0.0015	0.5831	0.0039	0.0	0.5751	0.0041	0.0
50perc_10repeat	0.1	0.3311	0.5801	0.1515	0.0107	0.5799	0.6382	0.6076	0.5215	0.4976	0.013	0.0009	0.5286	0.0019	0.0	0.5347	0.0019	0.0
15perc_5repeat	0.05	0.2791	0.7038	0.2134	0.0151	0.6973	0.794	0.7425	0.5289	0.477	0.0489	0.0035	0.681	0.0091	0.0	0.731	0.0065	0.0
05perc_2repeat	0.05	0.1849	0.8058	0.1995	0.0141	0.7894	0.8571	0.8219	0.9397	0.4801	0.0602	0.0043	0.8137	0.0086	0.0	0.8376	0.0069	0.0
70perc_5repeat	0.05	0.2578	0.7114	0.2138	0.0151	0.724	0.672	0.6971	0.6105	0.5027	0.0236	0.0017	0.6121	0.0036	0.0	0.606	0.004	0.0
50perc_2repeat	0.05	0.32	0.6463	0.2045	0.0145	0.6281	0.6745	0.6505	0.5208	0.4886	0.0359	0.0025	0.6081	0.0062	0.0	0.6232	0.0055	0.0
05perc_2repeat	0.2	0.0526	0.9403	0.0522	0.0037	0.9201	0.9757	0.9471	0.947	0.4773	0.0266	0.0019	0.8411	0.0028	0.0	0.8579	0.0024	0.0
15perc_2repeat	0.2	0.0613	0.9315	0.0754	0.0053	0.9132	0.968	0.9398	0.947	0.4828	0.025	0.0018	0.7599	0.0034	0.0	0.7696	0.0029	0.0
40perc_2repeat	0.2	0.1195	0.8727	0.1547	0.0109	0.8613	0.937	0.8976	0.9428	0.4868	0.0203	0.0014	0.6276	0.0027	0.0	0.6497	0.0026	0.0
05perc_5repeat	0.2	0.0501	0.9427	0.038	0.0027	0.9235	0.9743	0.9483	0.9477	0.4814	0.0283	0.002	0.8319	0.003	0.0	0.842	0.0023	0.0
